Name,Affiliation,Interests,Cited By,Profile URL
Poulose Poulose,IIT Guwahati,high energy physics phenomenology,2096.0,https://scholar.google.com/citations?hl=en&user=K9E0eCMAAAAJ
Mangala Hegde,"ICMR Research Scientist-II, IIT Guwahati, Assam","cancer biology, biochemistry, cell and molecular biology, immunology, chronic diseases",2058.0,https://scholar.google.com/citations?hl=en&user=kEQ1rLAAAAAJ
Alika Khare,"Professor, IIT Guwahati",Laser and Photonics,2039.0,https://scholar.google.com/citations?hl=en&user=k1a6S9IAAAAJ
Anil Kumar Mishra,"Department of Civil Engineering, Indian Institute of Technology, Guwahati","Swelling-Shrinkage behaviour of soil, Bentonite-chemical interaction",2013.0,https://scholar.google.com/citations?hl=en&user=awRJ8IMAAAAJ
Nachiketa Tripathi,"Indian Institute of Technology Guwahati, India","Organizational Behaviour, IO Psychology, Social Psychology",2010.0,https://scholar.google.com/citations?hl=en&user=tDShOQ8AAAAJ
Dr.Padmanabhan Padma Kumar,"Professor, Dept. of Physics, IIT Guwahati","Computer Simulation, Materials Science, Chemical Physics",1976.0,https://scholar.google.com/citations?hl=en&user=QzrDCi4AAAAJ
Parijat Bhowmick,Assistant Professor (Grade I) at the EEE Department at IIT Guwahati,"Robust Control, Negative-imaginary systems, Vibration Control of Mechatronic Systems, Passivity and Dissipativity, Cooperative C",1958.0,https://scholar.google.com/citations?hl=en&user=aVPGXg4AAAAJ
senthilkumar sivaprakasam,Indian Institute of Technology Guwahati,"Bioprocess engineering, Bioprocess analytical technology",1957.0,https://scholar.google.com/citations?hl=en&user=l69ukGYAAAAJ
Dipankar Narayan Basu,Indian Institute of Technology Guwahati,"Nuclear thermalhydraulics, Two-phase flow, Thermal engineering",1951.0,https://scholar.google.com/citations?hl=en&user=YTdrtRwAAAAJ
Ratnadwip Singha,"Department of Physics, Indian Institute of Technology Guwahati",Condensed Matter Physics,1942.0,https://scholar.google.com/citations?hl=en&user=RU6kxIsAAAAJ
R. Anandalakshmi,"Associate Professor, Department of Chemical Engineering, Indian Institute of Technology …","Computational Heat Transfer and Fluid Flow, Process Modeling and Simulation, Solar Thermal Energy Conversion, Energy Efficient",1927.0,https://scholar.google.com/citations?hl=en&user=T0z9jdsAAAAJ
R.Ganesh Narayanan,"Department of Mechanical Engineering, Indian Institute of Technology Guwahati",Material Forming and Joining,1921.0,https://scholar.google.com/citations?hl=en&user=u-IxKpwAAAAJ
Prof. Dr. Subhendu Sekhar Bag,"Department of Chemistry, Indian Institute of Technology Guwahati",Bioorganic and Medicinal Chemistry,1885.0,https://scholar.google.com/citations?hl=en&user=hJenHXgAAAAJ
Dr. Suraj  Prakash Tripathy,"Post-Doctoral Researcher, IIT Guwahati","MOF, Adsorption, Photocatalysis, Sensing",1877.0,https://scholar.google.com/citations?hl=en&user=2EYsQlMAAAAJ
Sisir Kumar Nayak,"Professor, IIT Guwahati","Renewable Power, High Voltage and Wireless Power Transfer",1874.0,https://scholar.google.com/citations?hl=en&user=dLTAVHAAAAAJ
"Rakhi Chaturvedi,R Chaturvedi",IIT Guwahati,"Plant Science, Plant biotechnology, Plant Tissue culture",1866.0,https://scholar.google.com/citations?hl=en&user=guOJxwIAAAAJ
Aviral Kumar,"Prime Minister's Research Fellow, Indian Institute of Technology Guwahati","Cancer Biology, Drug delivery, In-vivo models, Metastasis, Non-coding RNAs",1859.0,https://scholar.google.com/citations?hl=en&user=jq8-_0MAAAAJ
Pranab Kumar Ghosh,IIT Guwahati,,1850.0,https://scholar.google.com/citations?hl=en&user=w7BuznwAAAAJ
Rajib Kumar Bhattacharjya,"Professor, Department of Civil Engineering, IIT Guwahati","Groundwater Management, Saltwater Intrusion, Climate Change",1849.0,https://scholar.google.com/citations?hl=en&user=FCKLeO8AAAAJ
Ravindra,IIT Guwahati,Sensors,1827.0,https://scholar.google.com/citations?hl=en&user=AlohgdcAAAAJ
subhradip ghosh,"Department of Physics, Indian Institute of Technology Guwahati","Materials Science, Condensed Matter Physics, Electronic structure",1826.0,https://scholar.google.com/citations?hl=en&user=bjsOK6gAAAAJ
Mallikarjuna C,"Professor, Civil Engineering Department, IIT Guwahati",Traffic flow analysis and modeling,1818.0,https://scholar.google.com/citations?hl=en&user=Mi1evTQAAAAJ
Swaroop Nandan Bora,"Professor of Mathematics, Indian Institute of Technology Guwahati","Water waves, Sloshing, Porous media, River mechanics, fractional differential equations",1763.0,https://scholar.google.com/citations?hl=en&user=HT5yy28AAAAJ
Antara Dasgupta,"Principal Investigator, IIT Guwahati","Synthetic Organic, Bio-Organic, Supramolecular Chemistry, Naomaterials, Drug Delivery",1754.0,https://scholar.google.com/citations?hl=en&user=xApp_xcAAAAJ
Venkatesh Tamarapalli,"Professor of Computer Science, Indian Institute of Technology Guwahati",Computer Networks,1736.0,https://scholar.google.com/citations?hl=en&user=YkbVI7cAAAAJ
Jiten C Kalita,"Professor of Mathematics, Indian Institute of Technology Guwahati","Computational and Topological Fluid …, Numerical Methods for PDEs",1720.0,https://scholar.google.com/citations?hl=en&user=9CqMY60AAAAJ
Cota Navin Gupta,"Neural Engineering Lab, Dept of BSBE,Indian Institute of Technology Guwahati","Brain Computer Interfaces, Multivariate and Deep Learning, Parkinsons Disease, Aging, Neuroimaging",1690.0,https://scholar.google.com/citations?hl=en&user=31K9iDoAAAAJ
ratnajit bhattacharjee,"Professor, EEE Department IIT Guwahati","Wireless communication, Microwaves, Antennas, Electromagnetics",1633.0,https://scholar.google.com/citations?hl=en&user=MCD-HKQAAAAJ
