Name,Affiliation,Interests,Cited By,Profile URL
Sujith RI,Indian Institute of Technology Madras,"Thermoacoustic instability, Complex systems theory",10634,https://scholar.google.com/citations?hl=en&user=ChR5YpEAAAAJ
Ravindra Gettu,IIT Madras,Civil Engineering,10510,https://scholar.google.com/citations?hl=en&user=Q-uy3fUAAAAJ
Vinu Ravikrishnan,"Professor, Chemical Engineering, Indian Institute of Technology Madras, India","Thermochemical technologies, biomass conversion, waste plastics and solid wastes to fuels and …",10124,https://scholar.google.com/citations?hl=en&user=gAIc9hEAAAAJ
A Jayakrishnan,"Former Professor, Department of Biotechnology, Indian Institute of Technology Madras …","Biomaterials, Drug Delivery, Polymers",10086,https://scholar.google.com/citations?hl=en&user=a8Fqx7MAAAAJ
AN Rajagopalan,Indian Institute of Technology Madras,Image Processing and Computer Vision,9798,https://scholar.google.com/citations?hl=en&user=jXTZEw4AAAAJ
Chandra Sekhar C,Indian Institute of Technology Madras,"Machine learning, Deep learning, Metric learning",9754,https://scholar.google.com/citations?hl=en&user=W5sQEeQAAAAJ
Mitesh Khapra,Indian Institute of Technology Madras,"Natural Language Processing, Machine Learning",9660,https://scholar.google.com/citations?hl=en&user=DV8z8DYAAAAJ
MS Ramachandra Rao,IIT Madras,"Diamondtronics and Oxide electronics …, NV-centres in diamond, Diamond coatings for tec",9597,https://scholar.google.com/citations?hl=en&user=rwQixokAAAAJ
Saminathan Ponnusamy,"Professor, Indian Institute of Technology Madras, Chennai 600036","Geometric Function Theory, Harmonic mappings, Special Functions, Turan type inequalities",9511,https://scholar.google.com/citations?hl=en&user=u5T0rO0AAAAJ
G Srinivasan,Indian Institute of Technology Madras,"Cellular manufacturing, Group Technology, Scheduling, Supply Chain Management",9248,https://scholar.google.com/citations?hl=en&user=e_Nv-yEAAAAJ
Balaraman Ravindran,"Professor of Data Science and AI, Wadhwani School of Data Science and AI, IIT Madras","Reinforcement Learning, Data Mining, Network Analysis, Responsible AI",9140,https://scholar.google.com/citations?hl=en&user=nGUcGrYAAAAJ
Sandeep Kumar,Indian Institute of Technology Madras,"Artificial Intelligence, Automated Planning, Machine Learning",9043,https://scholar.google.com/citations?hl=en&user=E_zeLPIAAAAJ
M Kamaraj,Indian Institute of Technology Madras,"Tribology, Surface Coatings, Creep, Materials",9014,https://scholar.google.com/citations?hl=en&user=5HB96vcAAAAJ
Srinivasa Rao Bakshi,Indian Institute of Technology Madras,"Surface engineering and coatings, in-situ composites, ultra high temperature ceramics and …, carbon nanotubes and graph",8980,https://scholar.google.com/citations?hl=en&user=7LjSLCIAAAAJ
Rajagopalan Srinivasan,Indian Institute of Technology Madras,"Process Systems Engineering, Energy Systems, AI & ML, Process Safety",8749,https://scholar.google.com/citations?hl=en&user=LItoQlMAAAAJ
Balaji C,"TT Narendran Institute Chair Professor, Department of Mechanical Engineering, IIT Madras …","Heat Transfer, Optimization, Atmospheric Science, Inverse Problems, ML in Thermal Sciences",8723,https://scholar.google.com/citations?hl=en&user=JNIgB64AAAAJ
Masilamani Jeganmohan,"Associate Professor, Department of Chemistry, Indian Institute of Technology Madras",Organic Synthesis,8602,https://scholar.google.com/citations?hl=en&user=4tsmRTQAAAAJ
Velmurugan R,Indian Institute of Technology Madras,"Impact mechanics, Composite materials, FE Analysis, Nanomaterials",8599,https://scholar.google.com/citations?hl=en&user=dQ_hsaAAAAAJ
Rohit Batra,Assistant Professor IIT Madras,"Materials informatics, Density functional theory, Machine learning, Materials discovery",8518,https://scholar.google.com/citations?hl=en&user=HYOLn6IAAAAJ
Sachin S. Gunthe,"Dept of Civil Engineering, IIT Madras","Aerosol, Atmospheric Chemistry and pollution, Climate, Health, Human body thermodynamics and cognition",8415,https://scholar.google.com/citations?hl=en&user=9WJ5i-MAAAAJ
Dr. Mohanasankar Sivaprakasam,"Professor of Electrical Engineering, IIT Madras","Affordable healthcare technologies, Biomedical instrumentation, Healthcare delivery models for low resource …",7835,https://scholar.google.com/citations?hl=en&user=udQcaS4AAAAJ
Shiva Nagendra SM,"Professor of Civil Engineering, Indian Institute of Technology Madras","Urban Air Quality Management, Indoor Air Quality, Real Time Vehicle Exhaust Emission …, Source Apportionment",7744,https://scholar.google.com/citations?hl=en&user=lFVg7bQAAAAJ
K.Shanti Swarup,"Professor, Department of Electrical Engineering, Indian Institute of Technology Madras","Energy Management Systems, Smart Grids, Automation, Digital-Numerical Protection, Computational Intelligence",7633,https://scholar.google.com/citations?hl=en&user=nNiRqpIAAAAJ
Subramshu S. Bhattacharya,"Professor of MME, IIT Madras","High entropy oxides (HEOs), Nanoceramics, Superplasticity",7414,https://scholar.google.com/citations?hl=en&user=drZz4a0AAAAJ
Pazhamalai Anbarasan,"Professor of Chemistry, IIT Madras",Organic Synthesis,7352,https://scholar.google.com/citations?hl=en&user=I8hSXYMAAAAJ
Sundargopal Ghosh,"Professor, Department of Chemistry, Indian Institute of Technology Madras","Boron, Main Group, Metallaborane, Cluster, Triple-decker",7311,https://scholar.google.com/citations?hl=en&user=xLXfN-IAAAAJ
Ashis Kumar Sen,IIT Madras,Microfluidics,7231,https://scholar.google.com/citations?hl=en&user=nm69QSQAAAAJ
G Sekar,"Professor of Chemistry, IIT Madras, India","Organic Chemistry, Asymmetric Synthesis, Catalysis",7116,https://scholar.google.com/citations?hl=en&user=X23iSgMAAAAJ
Professor Satyajit Roy,Indian Institute of Technology Madras,"Computational Fluid Dynamics, Boundary Layer theory",7092,https://scholar.google.com/citations?hl=en&user=68l0YcsAAAAJ
Sivakumar KC IITM,Indian Institute of Technology Madras,,7061,https://scholar.google.com/citations?hl=en&user=eqlcHWsAAAAJ
A Ramesh,"Institute Chair Professor, Dept. of Mechanical Engineering, Indian Institute of Technology","Internal Combustion Engines, Alternative fuels, automotive engineering, Engine control, hybrid",6987,https://scholar.google.com/citations?hl=en&user=SPA7o6QAAAAJ
Rama Verma,"Retered Director MNNIT,Retired Professor in Biotechnology, IIT, Madras, Chennai and …","Stem Cell, Molecular Biology, Receptor Biology, Immunology, Membrane Biology",6956,https://scholar.google.com/citations?hl=en&user=LrxrULcAAAAJ
Subramanya Sarma Vadlamani,"Professor, Department of Metallurgical and Materials Engineering, Indian Institute of …","Materials Processing, Microstructure, Grain Boundaries, Mechanical Properties",6930,https://scholar.google.com/citations?hl=en&user=gz8LMM4AAAAJ
