Name,Affiliation,Interests,Cited By,Profile URL,h-index,i10-index,vector_id
"Bhaskar Kumar Kakati, PhD (TISS)","Assistant Professor, Indian Institute of Technology, Jodhpur","Rural Development, Appropriate Technology, Sustainability, Local Governance",148,https://scholar.google.com/citations?hl=en&user=09VbIiEAAAAJ,7,5,interest_117
Amit Kumar Rathi,"Assistant Professor, Civil & Infrastructure Engineering, RCRICE, IIT Jodhpur","Reliability Analysis, Surrogate Modelling, Structural Health Monitoring, Energy Infrastructure",134,https://scholar.google.com/citations?hl=en&user=aBvc2cwAAAAJ,5,3,interest_118
Dr. Sagar Kumar Verma,"Assistant Professor, IIT Jodhpur, JSPS Awardee, Postdoc at Oregon State University …","Nanophotonics, Plasmonics, Metamaterials & Metasurfaces, Laser Sintering, Ultrafast Spectroscopy",128,https://scholar.google.com/citations?hl=en&user=kd5dQ6MAAAAJ,7,5,interest_119
Tara Chand Kumawat,"Assistant Professor, Chemical Engineering, IIT Jodhpur","Thin film stability, Transport Phenomena, CFD",125,https://scholar.google.com/citations?hl=en&user=Z1QdNQsAAAAJ,6,5,interest_120
Dr Priyabrata Rautray,"Assistant Professor (II), School of Design, IIT Jodhpur","Sustainable architecture, frugal design, product design",115,https://scholar.google.com/citations?hl=en&user=ie58T-wAAAAJ,6,5,interest_121
George Kodimattam Joseph,"Associate Professor, IIT Jodhpur","Applied Ethics, Normative Ethics, Sustainability, Indian Philosophy, Social Justice",114,https://scholar.google.com/citations?hl=en&user=e99qNs0AAAAJ,3,2,interest_122
PRADIP SASMAL,Assistant Professor at IIT Jodhpur,Finite Frame Theory and Its Application to …,112,https://scholar.google.com/citations?hl=en&user=ekWV9VMAAAAJ,6,1,interest_123
Pankaj Chavan,"Assistant Professor, IIT Jodhpur","Learning Analytics, Technology Enhanced Learning, Teacher Education",100,https://scholar.google.com/citations?hl=en&user=MDNMoYUAAAAJ,7,5,interest_124
"Hardik Jain, Ph.D.","Assistant Professor at Department of CSE, IIT Jodhpur","3D Computer Vision, edge AI, Machine Learning, VR/AR",99,https://scholar.google.com/citations?hl=en&user=LqwogOwAAAAJ,5,4,interest_125
Susmita panda,"Assistant Professor, IIT Jodhpur","Railway Geotechnics, Bridge engineering, Moving load analysis, Machine Learning, Optimization",94,https://scholar.google.com/citations?hl=en&user=bVu0NDgAAAAJ,7,5,interest_126
Roshan Kumar Hota,"Assistant Professor ,Indian Institute of Technology Jodhpur","Robotics, Mechanisms, Underactuated hands, Grasping, Manipulation",90,https://scholar.google.com/citations?hl=en&user=b-VTTtsAAAAJ,6,4,interest_127
Vikramsingh Thakur,"Professor, Indian Institute of Technology Jodhpur","Polymer Nanocomposites, Packaging, Functional",89,https://scholar.google.com/citations?hl=en&user=mOLoMUcAAAAJ,6,4,interest_128
Dr. Palash Das,"Assistant Professor, Indian Institute of Technology Jodhpur","AI/ML Accelerator, Computer Architecture, Hardware Design, Testing and Synthesis of Reversible Circuits, Quantum Computing",81,https://scholar.google.com/citations?hl=en&user=PHUDoo4AAAAJ,5,3,interest_129
Radhika Amashi,"Assistant Professorin Computer Science Dept,  Research Scholar, IIT Jodhpur","Educational Technology, Personalized Learning",71,https://scholar.google.com/citations?hl=en&user=dz9ZEYkAAAAJ,5,2,interest_130
Gaurav Vaidya,"Assistant Professor, Indian Institute of Technology Jodhpur","Design Research, Design Education, Product Design, Emotional Design",55,https://scholar.google.com/citations?hl=en&user=bqj59X8AAAAJ,4,1,interest_131
Gurujegan Murugesan,"Assistant Professor of Linguistics, IIT Jodhpur","Syntax, theoretical linguistics, Tribal languages of India",49,https://scholar.google.com/citations?hl=en&user=Uh9_dHIAAAAJ,3,2,interest_132
Ambuj Kumar Gautam,"Assistant Professor in the Department Mechanical Engineering, IIT Jodhpur","NDE, SHM, EMAT, Ultrasonic, Robotic & Automation",44,https://scholar.google.com/citations?hl=en&user=PKUtILIAAAAJ,3,2,interest_133
Kuntal Som,"Assistant Professor in the Department of Mathematics, IIT Jodhpur","Mathematical Analysis, Mathematical Optimization, Nonlinear analysis, Uncertainty quantification",43,https://scholar.google.com/citations?hl=en&user=OK-uANoAAAAJ,4,2,interest_134
Jitesh Mohnot,"Assistant Professor, School of Management and Entrepreneurship, IIT Jodhpur","Strategy-as-Practice, Entrepreneurship-as-Practice, Business Communities, Value Chain, Ethnic Entp",43,https://scholar.google.com/citations?hl=en&user=qupThsQAAAAJ,4,1,interest_135
Falak Vats,"Assistant Professor, IIT Jodhpur","Earthquake Engineering, Structural Dynamics, Seismic Design, GMPE",37,https://scholar.google.com/citations?hl=en&user=FtasokYAAAAJ,3,0,interest_136
Pranjali Bafila,"Assistant professor of EE, NPSEI(UTU) ;Research Scholar IIT Jodhpur","Power quality improvement, Smart Grid",34,https://scholar.google.com/citations?hl=en&user=GrDPQDwAAAAJ,2,1,interest_137
Bhavna Bajpai,"Assistant Professor at IIIT Kota, PhD, Indian Institute of Technology Jodhpur","Explainable & Generalization AI, Brain-Computer Interface, Mental Health, Pattern Recognition",31,https://scholar.google.com/citations?hl=en&user=LRN2bGQAAAAJ,4,1,interest_138
SHIV KUMAR VERMA,"Assistant Professor, School of Design, IIT Jodhpur","Design Research, Design Methods, Design Science, Form Studies",23,https://scholar.google.com/citations?hl=en&user=izrf7jEAAAAJ,3,1,interest_139
Brahadeesh Sankarnarayanan,"Assistant Professor (Grade II), Indian Institute of Technology Jodhpur","combinatorics, graph theory, probabilistic methods, graph colorings, extremal problems",23,https://scholar.google.com/citations?hl=en&user=EkZ13RYAAAAJ,3,0,interest_140
Rachel Philip,"Assistant Professor, School of Liberal Arts, IIT Jodhpur, Rajastan, India","Sociology of Education, Sociology of Science, Sociology of Knowledge",13,https://scholar.google.com/citations?hl=en&user=S2lsB-MAAAAJ,2,0,interest_141
Natasa Thoudam,"Assistant Professor, Indian Institute of Technology Jodhpur",India's Northeast focus on Manipur,13,https://scholar.google.com/citations?hl=en&user=LYBWYjYAAAAJ,2,0,interest_142
Manu Kanchan,"Assistant Professor, IIT Jodhpur","Marketing/Branding, Consumer Rights, Intellectual Property",12,https://scholar.google.com/citations?hl=en&user=sjUw7UMAAAAJ,2,0,interest_143
Sahil Gehlawat,"Assistant Professor, Department of Mathematics, Indian Institute of Technology Jodhpur",Several complex variables,10,https://scholar.google.com/citations?hl=en&user=fuYVCYsAAAAJ,2,0,interest_144
Soni,"Assistant professor, IIT Jodhpur","Childhood, Gender, Education, labour, and transnational history",8,https://scholar.google.com/citations?hl=en&user=akmXjCwAAAAJ,1,0,interest_145
Tonisha Guin,"Assistant Professor, IIT Jodhpur","Cultural Studies, Indian Modernity, Gender, Popular Culture, Media Studies",5,https://scholar.google.com/citations?hl=en&user=sCLmBGAAAAAJ,1,0,interest_146
Manjeet Gajbhiye,"Assistant Professor, Suryodaya College of Engineering & Technology & PhD Scholar, IIT …","Heat Transfer, Solar Desalination, Solar Energy",3,https://scholar.google.com/citations?hl=en&user=Q7gWtvEAAAAJ,1,0,interest_147
kedar dicholkar,"Assistant Professor, Indian Institute of Technology Jodhpur","Interaction design, User experience design, visual culture and narrative systems",0,https://scholar.google.com/citations?hl=en&user=01jUrgMAAAAJ,0,0,interest_148
Dr. Dinesh Mohan Joshi,"Assistant Professor, Indian Institute of Technology Jodhpur","History of Mathematics, Astronomy, Manuscriptology",0,https://scholar.google.com/citations?hl=en&user=k4Ys24QAAAAJ,0,0,interest_149
