Name,Affiliation,Interests,Cited By,Profile URL,h-index,i10-index,Research Papers
Raghunathan Rengaswamy,"Professor of Chemical Engineering, IIT Madras",Process Systems Engineering - Fuel Cell …,16906,https://scholar.google.com/citations?hl=en&user=WOCWpzwAAAAJ,49,148,"['A review of process fault detection and diagnosis: Part I: Quantitative model-based methods', 'A review of process fault detection and diagnosis: Part III: Process history based methods', 'A review of process fault detection and diagnosis: Part II: Qualitative models and search strategies', 'A syntactic pattern-recognition approach for process monitoring and fault diagnosis', 'A review of solid oxide fuel cell (SOFC) dynamic models', 'Fault diagnosis using dynamic trend analysis: A review and recent developments', 'Locating sensors in complex chemical plants based on fault diagnostic observability criteria', 'Robust and reliable estimation via unscented recursive nonlinear dynamic data reconciliation', 'Application of signed digraphs-based analysis for fault diagnosis of chemical process flowsheets', 'Fuzzy-logic based trend classification for fault diagnosis of chemical processes']"
Venkatesan Subramanian,Indian Institute of Technology Madras,"Theoretical and Computational Chemistry, Biophysics of Collagen, Biomacromolecules Structure",15663,https://scholar.google.com/citations?hl=en&user=o7ttu1gAAAAJ,61,242,"['Bader’s theory of atoms in molecules (AIM) and its applications to chemical bonding', 'Electrophilicity-based charge transfer descriptor', 'Electrophilicity index as a possible descriptor of biological activity', 'Hydrogen bonding without borders: an atoms-in-molecules perspective', 'Application of quantum chemical descriptor in quantitative structure activity and structure property relationship', 'Intermolecular reactivity through the generalized philicity concept', 'Interaction of DNA with [Cr (Schiff base)(H2O) 2] ClO4', 'Comparison of global reactivity descriptors calculated using various density functionals: a QSAR perspective', 'Electrophilicity as a possible descriptor for toxicity prediction', 'Stabilization of collagen using plant polyphenol: role of catechin']"
Ashok Kumar Mishra,"Professor of Physical Chemistry, Indian Institute of Technology-Madras","Fluorescence Spectroscopy, Excited state prototropism, Analytical Photochemistry, Chemometrics, Fiber Optics",15299,https://scholar.google.com/citations?hl=en&user=N_rqztMAAAAJ,57,355,"['Inner filter effect in fluorescence spectroscopy: As a problem and as a solution', 'Recent developments in multicomponent synchronous fluorescence scan analysis', 'Technology Adoption and Off-Farm Household Income: The Case ofHerbicide-Tolerant Soybeans', 'the Economic Well-Being of Farm Households', 'Off-farm income, technology adoption, and farm economic performance', 'Health status and health care access of farm and rural populations', 'Fluorescence spectroscopic study of serum albumin–bromadiolone interaction: fluorimetric determination of bromadiolone', 'Role of fungi in the deterioration of wall paintings', 'Safety of ashwagandha root extract: a randomized, placebo-controlled, study in healthy volunteers', 'Total synchronous fluorescence scan spectra of petroleum products']"
Manu Santhanam,"Professor, IIT Madras","Cement chemistry and microstructure, concrete durability",15294,https://scholar.google.com/citations?hl=en&user=bCnS1poAAAAJ,55,129,"['Mechanical properties and durability performance of concretes with Limestone Calcined Clay Cement (LC3)', 'Mechanical properties of high strength concrete reinforced with metallic and non-metallic fibres', 'Sulfate attack research—whither now?', 'Mechanism of sulfate attack: A fresh look: Part 1: Summary of experimental results', '3D printable concrete: Mixture design and test methods', 'Mechanism of sulfate attack: a fresh look: Part 2. Proposed mechanisms', 'Performance evaluation of sugarcane bagasse ash blended cement in concrete', 'Service life and life cycle assessment of reinforced concrete systems with limestone calcined clay cement (LC3)', 'Assessment of pore structure evolution in the limestone calcined clay cementitious system and its implications for performance', 'Sustainable materials for 3D concrete printing']"
RadhaKrishna Ganti,"Assistant Professor, IIT Madras, Chennai","Communication Systems, Cellular Networks, Stochastic geometry, Information Theory, Full-duplex radios",14859,https://scholar.google.com/citations?hl=en&user=ZKOZPcEAAAAJ,31,62,"['A tractable approach to coverage and rate in cellular networks', 'Stochastic geometry and wireless networks', 'Modeling and analysis of K-tier downlink heterogeneous cellular networks', 'Interference in large wireless networks', 'Analytical evaluation of fractional frequency reuse for OFDMA cellular networks', 'A primer on spatial modeling and analysis in wireless networks', 'Interference and Outage in Clustered Wireless Ad Hoc Networks', 'Towards understanding the fundamentals of mobility in cellular networks', 'Comparison of fractional frequency reuse approaches in the OFDMA cellular downlink', 'On the throughput cost of physical layer security in decentralized wireless networks']"
KG Pradeep,"Indian Institute of Technology Madras, Chennai","Combinatorial Alloy Design, Magnetic materials, Field ion Microscopy and Atom Probe …, Amorphous and Nanocrystalline ma",14283,https://scholar.google.com/citations?hl=en&user=oEtyMLIAAAAJ,41,77,"['Metastable high-entropy dual-phase alloys overcome the strength–ductility trade-off', 'Decomposition of the single-phase high-entropy alloy CrMnFeCoNi after prolonged anneals at intermediate temperatures', 'Design of a twinning-induced plasticity high entropy alloy', 'A TRIP-assisted dual-phase high-entropy alloy: grain size and phase fraction effects on deformation behavior', 'A novel, single phase, non-equiatomic FeMnNiCoCr high-entropy alloy with exceptional phase stability and tensile ductility', 'Bulk tracer diffusion in CoCrFeNi and CoCrFeMnNi high entropy alloys', 'High-Entropy Alloys as Catalysts for the CO2 and CO Reduction Reactions: Experimental Realization', 'Thermal stability and grain boundary strengthening in ultrafine-grained CoCrFeNi high entropy alloy composite', 'Phase stability of non-equiatomic CoCrFeMnNi high entropy alloys', 'Non-equiatomic high entropy alloys: Approach towards rapid alloy screening and property-oriented design']"
G. Ranga Rao,"Professor of Chemistry, Indian Institute of Technology Madras","Materials Chemistry, Heterogeneous Catalysis, Solid State Electrochemistry, Energy storage and",13342,https://scholar.google.com/citations?hl=en&user=tHlEUtoAAAAJ,57,162,"['Ultralayered Co3O4 for high-performance supercapacitor applications', 'Rh-loaded CeO2-ZrO2 solid-solutions as highly efficient oxygen exchangers: dependence of the reduction behavior and the oxygen storage capacity on the structural-properties', 'Microwave-mediated synthesis for improved morphology and pseudocapacitance performance of nickel oxide', 'Tuning of capacitance behavior of NiO using anionic, cationic, and nonionic surfactants by hydrothermal synthesis', 'Nanoscale morphology dependent pseudocapacitance of NiO: Influence of intercalating anions during synthesis', 'Effect of microwave on the nanowire morphology, optical, magnetic, and pseudocapacitance behavior of Co3O4', 'Reduction of NO over Partially Reduced Metal-Loaded CeO2–ZrO2 Solid Solutions', 'XRD and UV-Vis diffuse reflectance analysis of CeO 2-ZrO 2 solid solutions synthesized by combustion method', 'Pine-cone morphology and pseudocapacitive behavior of nanoporous nickel oxide', 'Construction of ternary hybrid layered reduced graphene oxide supported g-C3N4-TiO2 nanocomposite and its photocatalytic hydrogen production activity']"
Reddy KS,"Professor, Department of Mechanical Engineering, IIT Madras","Solar Energy, Energy & Environment, Heat Transfer",13341,https://scholar.google.com/citations?hl=en&user=PwkbWWAAAAAJ,63,184,"['A review of solar energy driven desalination technologies', 'Review of latent heat thermal energy storage for improved material stability and effective load management', 'COVID-19: Impact analysis and recommendations for power sector operation', 'Solar resource estimation using artificial neural networks and comparison with other correlation models', 'Thermal analysis of solar parabolic trough with porous disc receiver', 'Nano-enhanced Phase Change Material for thermal management of BICPV', '4-E (Energy, Exergy, Environment, and Economic) analysis of solar thermal aided coal-fired power plants', 'A review of Integration, Control, Communication and Metering (ICCM) of renewable energy based smart grid', 'Performance enhancement of a Building-Integrated Concentrating Photovoltaic system using phase change material', 'Experimental investigation of porous disc enhanced receiver for solar parabolic trough collector']"
Rajnish Kumar,"Professor, Department of Chemical Engineering; Indian Institute of Technology Madras","CO2 Capture & Sequestration, Direct Air Capture, Gas Hydrates, Water Purification, Hydrogen Storage",13129,https://scholar.google.com/citations?hl=en&user=P21tbTMAAAAJ,59,123,"['A review of the hydrate based gas separation (HBGS) process for carbon dioxide pre-combustion capture', 'The clathrate hydrate process for post and pre-combustion capture of carbon dioxide', 'Synthesis of biodiesel in supercritical fluids', 'Hydrogen storage in clathrate hydrates: Current state of the art and future directions', 'Role of surfactants in promoting gas hydrate formation', 'Gas hydrate formation from hydrogen/carbon dioxide and nitrogen/carbon dioxide gas mixtures', 'A new apparatus to enhance the rate of gas hydrate formation: Application to capture of carbon dioxide', 'Rapid methane hydrate formation to develop a cost effective large scale energy storage system', 'Pre-combustion capture of carbon dioxide in a fixed bed reactor using the clathrate hydrate process', 'Influence of contact medium and surfactants on carbon dioxide clathrate hydrate kinetics']"
Tanmay Basak,"Professor, Chemical Engineering, Indian Insttitute of Technology Madras","Computational Thermo-Fluids, Convection-Energy Flow, Convection-Bifurcation, Finite Element, Microwave-Thermal Transport",12902,https://scholar.google.com/citations?hl=en&user=eFEoz98AAAAJ,54,196,"['Microwave food processing—A review', 'A review on the susceptor assisted microwave processing of materials', 'Effects of thermal boundary conditions on natural convection flows within a square cavity', 'Natural convection in a square cavity filled with a porous medium: effects of various thermal boundary conditions', 'Microwave material processing—a review', 'Studies on natural convection within enclosures of various (non-square) shapes–A review', 'Finite element analysis of natural convection flows in a square cavity with non-uniformly heated wall (s)', 'Heatline analysis on natural convection for nanofluids confined within square cavities with various thermal boundary conditions', 'Analysis of mixed convection flows within a square cavity with uniform and non-uniform heating of bottom wall', 'Heat flow analysis for natural convection within trapezoidal enclosures based on heatline concept']"
Ganapathy Krishnamurthi,Professor at IIT-Madras,medical imaging,12729,https://scholar.google.com/citations?hl=en&user=TXjlCH4AAAAJ,33,52,"['Deep learning techniques for automatic MRI cardiac multi-structures segmentation and diagnosis: is the problem solved?', 'Identifying the best machine learning algorithms for brain tumor segmentation, progression assessment, and overall survival prediction in the BRATS challenge', 'The liver tumor segmentation benchmark (lits)', 'Fully convolutional multi-scale residual DenseNets for cardiac segmentation and automated cardiac diagnosis using ensemble of classifiers', 'Longitudinal multiple sclerosis lesion segmentation: resource and challenge', 'A generalized deep learning framework for whole-slide image segmentation and analysis', '2018 robotic scene segmentation challenge', 'PAIP 2019: Liver cancer segmentation challenge', 'Densely connected fully convolutional network for short-axis cardiac cine MR image segmentation and heart diagnosis using random forest', 'Data mining framework for fatty liver disease classification in ultrasound: a hybrid feature extraction paradigm']"
Aravind Kumar Chandiran,"Associate Prof. - Chem. Engg., Head - Hyundai HTWO Innovation Centre - A CoE in …","Green Hydrogen, Water splitting, Photovoltaics, Photoelectrochemistry, Solar energy",12550,https://scholar.google.com/citations?hl=en&user=D18I3fcAAAAJ,27,42,"['Porphyrin-sensitized solar cells with cobalt (II/III)–based redox electrolyte exceed 12 percent efficiency', 'Mesoscopic CH3NH3PbI3/TiO2 Heterojunction Solar Cells', 'Analysis of Electron Transfer Properties of ZnO and TiO2 Photoanodes for Dye-Sensitized Solar Cells', 'Subnanometer Ga2O3 Tunnelling Layer by Atomic Layer Deposition to Achieve 1.1 V Open-Circuit Potential in Dye-Sensitized Solar Cells', 'Yttrium-substituted nanocrystalline TiO2 photoanodes for perovskite based heterojunction solar cells', 'Doping a TiO2 Photoanode with Nb5+ to Enhance Transparency and Charge Collection Efficiency in Dye-Sensitized Solar Cells', 'Sub-nanometer conformal TiO2 blocking layer for high efficiency solid-state perovskite absorber solar cells', 'The role of insulating oxides in blocking the charge carrier recombination in dye‐sensitized solar cells', 'Controlled synthesis of TiO2 nanoparticles and nanospheres using a microwave assisted approach for their application in dye-sensitized solar cells', 'Cs2PtI6 Halide Perovskite is Stable to Air, Moisture, and Extreme pH: Application to Photoelectrochemical Solar Water Oxidation']"
KP SUDHEER,Indian Institute of Technology Madras,"Hydrologic Modeling, Predictions in Ungauged Basins, Soft computing applications to thydrology",12345,https://scholar.google.com/citations?hl=en&user=4Su88eYAAAAJ,51,121,"['Methods used for the development of neural networks for the prediction of water resource variables in river systems: Current status and future directions', 'A neuro-fuzzy computing technique for modeling hydrological time series', 'A data‐driven algorithm for constructing artificial neural network rainfall‐runoff models', 'Groundwater level forecasting in a shallow aquifer using artificial neural network approach', 'Sensitivity and identifiability of stream flow generation parameters of the SWAT model', 'Short‐term flood forecasting with a neurofuzzy model', 'Estimating actual evapotranspiration from limited climatic data using neural computing technique', 'Rainfall‐runoff modelling using artificial neural networks: comparison of network types', 'Modelling evaporation using an artificial neural network algorithm', 'Fitting of hydrologic models: a close look at the Nash–Sutcliffe index']"
