Name,Affiliation,Interests,Cited By,Profile URL,h-index,i10-index,Research Papers,Unnamed: 0,Interest Domains
Shyam Biswas,IIT Guwahati,Inorganic Chemistry,12614,https://scholar.google.com/citations?hl=en&user=I7U6Ox4AAAAJ,47.0,129.0,"['Synthesis of metal-organic frameworks (MOFs): routes to various MOF topologies, morphologies, and composites', 'New Functionalized Flexible Al-MIL-53-X (X = -Cl, -Br, -CH3, -NO2, -(OH)2) Solids: Syntheses, Characterization, Sorption, and Breathing Behavior', 'A General Strategy for the Synthesis of Functionalised UiO‐66 Frameworks: Characterisation, Stability and CO2 Adsorption Properties', 'Enhanced selectivity of CO2 over CH4 in sulphonate-, carboxylate- and iodo-functionalized UiO-66 frameworks', '3D luminescent amide-functionalized cadmium tetrazolate framework for selective detection of 2, 4, 6-trinitrophenol', 'p-Xylene-Selective Metal–Organic Frameworks: A Case of Topology-Directed Selectivity', 'A thiadiazole-functionalized Zr (IV)-based metal–organic framework as a highly fluorescent probe for the selective detection of picric acid', 'A cerium-based metal–organic framework having inherent oxidase-like activity applicable for colorimetric sensing of biothiols and aerobic oxidation of thiols', 'Metal–organic framework (MOF) derived recyclable, superhydrophobic composite of cotton fabrics for the facile removal of oil spills', 'A cubic coordination framework constructed from benzobistriazolate ligands and zinc ions having selective gas sorption properties']",,"[""Organic Frameworks and Porous Materials"", ""Materials Chemistry"", ""Functional Materials and Materials Design""]"
"Siddhartha  Sankar Ghosh,  Ghosh SS, SS Ghosh","Professor, Depart of Biosciences and Bioengineering, Indian Institute of Technology …","Gene Therapy, Cancer Biology, Nanobiology",12517,https://scholar.google.com/citations?hl=en&user=zJOfvfUAAAAJ,57.0,168.0,"['Green Fluorescent Protein-Expressing Escherichia coli as a Model System for Investigating the Antimicrobial Activities of Silver Nanoparticles', 'The antibacterial properties of a novel chitosan–Ag-nanoparticle composite', 'Genetic lesions of bilirubin uridine‐diphosphoglucuronate glucuronosyltransferase (UGT1A1) causing Crigler‐Najjar and Gilbert syndromes: correlation of genotype to phenotype', 'Induction of apoptosis in cancer cells at low silver nanoparticle concentrations using chitosan nanocarrier', 'One step synthesis of C-dots by microwave mediated caramelization of poly (ethylene glycol)', 'Presence of amorphous carbon nanoparticles in food caramels', 'Implications of silver nanoparticle induced cell apoptosis for in vitro gene therapy', 'Signaling gene cascade in silver nanoparticle induced apoptosis', 'Curcumin improves intestinal barrier function: modulation of intracellular signaling, and organization of tight junctions', 'Heightened reactive oxygen species generation in the antimicrobial activity of a three component iodinated chitosan− silver nanoparticle composite']",,"[""Biosensors and Nanobiotechnology"", ""Nanomaterials in Drug Delivery"", ""Nanomaterials in Antimicrobial Applications"", ""Nanomaterials in Cancer Therapy"", ""Cell Signaling and Apoptosis""]"
"Parameswar Krishnan Iyer; PK Iyer; Parameswar K Iyer; P Iyer; Iyer PK, Iyer Parameswar Krishnan, PKI","Department of Chemistry, Indian Institute of Technology Guwahati","Polymer, Material, Photovoltaic, Sensor, Spectroscopy",12372,https://scholar.google.com/citations?hl=en&user=Y2aowXAAAAAJ,58.0,223.0,"['Improved hydrophilicity, permeability, antifouling and mechanical performance of PVDF composite ultrafiltration membranes tailored by oxidized low-dimensional carbon nanomaterials', 'Stabilized blue emission from polyfluorene‐based light‐emitting diodes: elimination of fluorenone defects', 'Functional 1, 8-naphthalimide AIE/AIEEgens: recent advances and prospects', 'Water/methanol-soluble conjugated copolymer as an electron-transport layer in polymer light-emitting diodes', 'Diameter dependence of interwall separation and strain in multiwalled carbon nanotubes probed by X-ray diffraction and Raman scattering studies', 'Dual “Static and Dynamic” fluorescence quenching mechanisms based detection of TNT via a cationic conjugated polymer', 'Inner filter effect based selective detection of nitroexplosive-picric acid in aqueous solution and solid support using conjugated polymer', 'Ultrasensitive detection of nitroexplosive – picric acid via a conjugated polyelectrolyte in aqueous media and solid support', 'Conjugated polymer nanoparticles for the amplified detection of nitro-explosive picric acid on multiple platforms', 'Aldehyde group driven aggregation-induced enhanced emission in naphthalimides and its application for ultradetection of hydrazine on multiple platforms']",,"[""Polymer Chemistry"", ""Functional Materials"", ""Fluorescent Materials"", ""Analytical Chemistry""]"
Tharmalingam Punniyamurthy,"Department of Chemistry, Indian Institute of Technology Guwahati, Guwahati 781039",Organic synthesis,12051,https://scholar.google.com/citations?hl=en&user=alLhL0AAAAAJ,56.0,157.0,"['Recent advances in transition metal catalyzed oxidation of organic substrates with molecular oxygen', 'CuO nanoparticles catalyzed C− N, C− O, and C− S cross-coupling reactions: Scope and mechanism', 'Ligand-free copper-catalyzed synthesis of substituted benzimidazoles, 2-aminobenzimidazoles, 2-aminobenzothiazoles, and benzoxazoles', 'Efficient CuO‐Nanoparticle‐Catalyzed C\uf8ff S Cross‐Coupling of Thiols with Iodobenzene', 'Recent advances in copper-catalyzed oxidation of organic compounds', 'Novel CuO nanoparticle catalyzed C− N cross coupling of amines with iodobenzene', 'Novel vanadium-catalyzed oxidation of alcohols to aldehydes and ketones under atmospheric oxygen', 'Efficient ligand-free nickel-catalyzed C–S cross-coupling of thiols with aryl iodides', 'Novel polyaniline-supported molybdenum-catalyzed aerobic oxidation of alcohols to aldehydes and ketones', 'Iodobenzene Catalyzed C–H Amination of N-Substituted Amidines Using m-Chloroperbenzoic Acid']",,"[""Catalysis"", ""Organic Synthesis"", ""Transition Metal Catalysis"", ""Aerobic Oxidations"", ""Organometallic Chemistry""]"
"Subhash C. Mishra, FNAE, FASME, FIE(I)","Professor, Department of Mechanical Engineering, IIT Guwahati","Heat Transfer - Radiation, Participating Medium, Porous Media Combustion, Heat Transfer through Insulation Systems, Atmospheric Radiation",12022,https://scholar.google.com/citations?hl=en&user=AhpalIwAAAAJ,53.0,228.0,"['Global patient outcomes after elective surgery: prospective cohort study in 27 low-, middle-and high-income countries', 'International Nosocomial Infection Control Consortiu (INICC) report, data summary of 43 countries for 2007-2012. Device-associated module', 'Weaning from mechanical ventilation in intensive care units across 50 countries (WEAN SAFE): a multicentre, prospective, observational cohort study', 'Solving transient conduction and radiation heat transfer problems using the lattice Boltzmann method and the finite volume method', 'Conventional and newly developed bioheat transport models in vascularized tissues: A review', 'Rivaroxaban or aspirin for patent foramen ovale and embolic stroke of undetermined source: a prespecified subgroup analysis from the NAVIGATE ESUS trial', 'The surgical safety checklist and patient outcomes after surgery: a prospective observational cohort study, systematic review and meta-analysis', 'Application of the lattice Boltzmann method for solving the energy equation of a 2-D transient conduction–radiation problem', 'Effect of High Temperature on Pseudomonas putida NBRI0987 Biofilm Formation and Expression of Stress Sigma Factor RpoS', 'A lattice Boltzmann formulation for the analysis of radiative heat transfer problems in a participating medium']",,"[""Healthcare and Public Health"", ""Biotechnology and Biomedical Engineering"", ""Heat Transfer and Fluid Dynamics""]"
Arun Chattopadhyay,"Department of Chemistry, Indian Institute of Technology Guwahati","Nanoscale Science, Assembly of Molecules",11389,https://scholar.google.com/citations?hl=en&user=Ym02t0UAAAAJ,53.0,161.0,"['Green Fluorescent Protein-Expressing Escherichia coli as a Model System for Investigating the Antimicrobial Activities of Silver Nanoparticles', 'The antibacterial properties of a novel chitosan–Ag-nanoparticle composite', 'Induction of apoptosis in cancer cells at low silver nanoparticle concentrations using chitosan nanocarrier', 'One step synthesis of C-dots by microwave mediated caramelization of poly (ethylene glycol)', 'A ‘green’chitosan–silver nanoparticle composite as a heterogeneous as well as micro-heterogeneous catalyst', 'Presence of amorphous carbon nanoparticles in food caramels', 'Implications of silver nanoparticle induced cell apoptosis for in vitro gene therapy', 'Signaling gene cascade in silver nanoparticle induced apoptosis', 'Fabrication of antibacterial silver nanoparticle—sodium alginate–chitosan composite films', 'Heightened reactive oxygen species generation in the antimicrobial activity of a three component iodinated chitosan− silver nanoparticle composite']",,"[""Materials Chemistry"", ""Nanotechnology"", ""Cell Biology""]"
Prof.  PK Giri,Indian institute of technology Guwahati,"Nanomaterials, Semiconductors, Graphene, 2D Materials, Optoelectronics",10399,https://scholar.google.com/citations?hl=en&user=UYRlnoUAAAAJ,55.0,179.0,"['Evidence of oxygen vacancy induced room temperature ferromagnetism in solvothermally synthesized undoped TiO2 nanoribbons', 'Correlation between microstructure and optical properties of ZnO nanoparticles synthesized by ball milling', 'Interfacial charge transfer in oxygen deficient TiO2-graphene quantum dot hybrid and its influence on the enhanced visible light photocatalysis', 'Diameter dependence of interwall separation and strain in multiwalled carbon nanotubes probed by X-ray diffraction and Raman scattering studies', 'Formation Mechanism of Graphene Quantum Dots and Its Edge State Conversion Probed by Photoluminescence and Raman Spectroscopy', 'High temperature ferromagnetism and optical properties of Co doped ZnO nanoparticles', 'Strain induced phase formation, microstructural evolution and bandgap narrowing in strained TiO2 nanocrystals grown by ball milling', 'Signature of strong ferromagnetism and optical properties of Co doped TiO2 nanoparticles', 'Solar light driven photoelectrocatalytic hydrogen evolution and dye degradation by metal-free few-layer MoS2 nanoflower/TiO2 (B) nanobelts heterostructure', 'Structural, optical, and magnetic properties of Ni doped ZnO nanoparticles: correlation of magnetic moment with defect density']",,"[""Nanomaterials and Semiconductor Research"", ""Photoelectrochemical and Photocatalytic Research"", ""Magnetic and Ferromagnetic Materials Research"", ""X-ray and Raman Spectroscopy""]"
Vimal Katiyar,"Professor, IIT Guwahati",,10123,https://scholar.google.com/citations?hl=en&user=hiSED3QAAAAJ,57.0,194.0,"['Biopolymer-based nanocomposite films and coatings: Recent advances in shelf-life improvement of fruits and vegetables', 'State of art on solvent casting particulate leaching method for orthopedic scaffoldsfabrication', 'Effect of graphene content on the properties of poly (lactic acid) nanocomposites', 'Biodegradation and characterization study of compostable PLA bioplastic containing algae biomass as potential degradation accelerator', 'Effect of cellulose nanocrystal polymorphs on mechanical, barrier and thermal properties of poly (lactic acid) based bionanocomposites', 'Thermally recyclable polylactic acid/cellulose nanocrystal films through reactive extrusion process', 'Pd (II) adsorption characteristics of glutaraldehyde cross-linked chitosan copolymer resin', 'State of art review on sustainable biodegradable polymers with a market overview for sustainability packaging', 'Poly (3‐hydroxybutyrate)/cellulose nanocrystal films for food packaging applications: barrier and migration studies', 'Nanoamphiphilic chitosan dispersed poly (lactic acid) bionanocomposite films with improved thermal, mechanical, and gas barrier properties']",,"[""Polymer Science and Engineering"", ""Materials Science"", ""Biocomposites and Biopolymers"", ""Sustainable Materials and Packaging""]"
Bhisma K Patel,"Professor of Chemistry, Indian Institute of Technology Guwahati","CH activation, Catalysis, Hypervalent iodine, Green Chemistry, Heterocyclic Chemistry",9843,https://scholar.google.com/citations?hl=en&user=bIaYaeQAAAAJ,55.0,184.0,"['A catalytic oxidative esterification of aldehydes using V2O5− H2O2', 'Regioselective Bromination of Organic Substrates by Tetrabutylammonium Bromide Promoted by V2O5−H2O2:\u2009 An Environmentally Favorable Synthetic Protocol', 'Four tandem C–H activations: A sequential C–C and C–O bond making via a Pd-catalyzed cross dehydrogenative coupling (CDC) approach', 'Tetrabutylammonium tribromide (TBATB) as an efficient generator of HBr for an efficient chemoselective reagent for acetalization of carbonyl compounds', 'A new recyclable ditribromide reagent for efficient bromination under solvent free condition', 'Copper catalyzed oxidative esterification of aldehydes with alkylbenzenes via cross dehydrogenative coupling', 'Cu (II) catalyzed imine C–H functionalization leading to synthesis of 2, 5-substituted 1, 3, 4-oxadiazoles', 'An environmentally benign synthesis of organic ammonium tribromides (OATB) and bromination of selected organic substrates by tetrabutylammonium tribromide (TBATB)', 'Copper-Catalyzed Esterification of Alkylbenzenes with Cyclic Ethers and Cycloalkanes via C(sp3)–H Activation Following Cross-Dehydrogenative Coupling', 'Easy access to benzylic esters directly from alkyl benzenes under metal-free conditions']",,"[""Catalysis and Organic Reactions"", ""Cross-Coupling Reactions"", ""C–H Functionalization"", ""Organic Synthesis"", ""Catalyst Design and Characterization""]"
Ujjwal K. Saha,"Professor of Mechanical Engineering, Indian Institute of Technology Guwahati","Propulsion, Turbomachinery, Applied Aerodynamics, Wind Energy, Internal Combustion Engines",9668,https://scholar.google.com/citations?hl=en&user=KmcDxokAAAAJ,48.0,127.0,"['Effect of Engine Parameters and Type of Gaseous Fuel on the Performance of Dual-fuel Gas Diesel Engines—A Critical Review', 'Optimum Design Configuration of Savonius Rotor Through Wind Tunnel Experiments', 'On the Performance Analysis of Savonius Rotor with Twisted Blades', 'Wind Tunnel Experiments of a Newly Developed Two-bladed Savonius-style Wind Turbine', 'Effect of Compression Ratio on Performance, Combustion and Emission Characteristics of a Dual Fuel Diesel Engine Run on Raw Biogas', 'Experimental Studies on Sloshing Behavior due to Horizontal Movement of Liquids in Baffled Tanks', 'Parametric Analysis of Model Savonius Hydrokinetic Turbines Through Experimental and Computational Investigations', 'Review on the Numerical Investigations into the Design and Development of Savonius Wind Rotors', 'A Comprehensive Review on the Application of Emulsions as an Alternative Fuel for Diesel Engines', 'Experimental Evaluation of a Rice bran Biodiesel–biogas Run Dual Fuel Diesel Engine at Varying Compression Ratios']",,"[""Wind Energy and Turbines"", ""Biofuel Production and Combustion"", ""Experimental Mechanics and Fluid Dynamics"", ""Renewable Energy Systems""]"
