Name,Affiliation,Interests,Cited By,Profile URL,h-index,i10-index,Research Papers,Unnamed: 0,Interest Domains
Mukesh Kumar,"Electrical Engineering, Indian Institute of Technology (IIT) Indore","Optoelectronic Devices, Nanophotonics, Silicon Photonics, Microfabrication",3312,https://scholar.google.com/citations?hl=en&user=AdhSVmkAAAAJ,26.0,96.0,"['Analysis of local orientation gradients in deformed single crystals', 'Nanocavity-coupled photonic crystal waveguide as highly sensitive platform for cancer detection', 'Optical modulation in hybrid waveguide based on Si-ITO heterojunction', 'Fabrication and characterization of PVDF/BaTiO3 nanocomposite for energy harvesting application', 'High speed optical modulator based on silicon slotted-rib waveguide', 'Optical and magnetic properties of copper doped ZnO nanorods prepared by hydrothermal method', 'Ti2C-TiO2 MXene Nanocomposite-Based High-Efficiency Non-Enzymatic Glucose Sensing Platform for Diabetes Monitoring', 'Optical modulation via coupling of distributed semiconductor heterojunctions in a Si-ITO based subwavelength grating', 'PVDF/RGO based piezoelectric nanocomposite films for enhanced mechanical and dielectric properties', 'Graphene based tunable and wideband terahertz antenna for wireless network communication']",44.0,"[""Optoelectronics"", ""Functional Materials"", ""Nanotechnology"", ""Piezoelectric Materials""]"
Suman Mukhopadhyay,"Professor of Chemistry, Indian Institute of Technology Indore",Inorganic Chemistry,3275,https://scholar.google.com/citations?hl=en&user=th7cZbIAAAAJ,32.0,85.0,"['Ruthenium (II)–arene RAPTA type complexes containing curcumin and bisdemethoxycurcumin display potent and selective anticancer activity', 'Substituent dependent sensing behavior of Schiff base chemosensors in detecting Zn2+ and Al3+ ions: Drug sample analysis and living cell imaging', 'Nickel(ii) complexes with a flexible piperazinyl moiety: studies on DNA and protein binding and catecholase like properties', 'Target based chemotherapeutic advancement of ruthenium complexes', 'Ruthenium(ii)–arene complexes as anti-metastatic agents, and related techniques', 'Ruthenium(ii) arene NSAID complexes: inhibition of cyclooxygenase and antiproliferative activity against cancer cell lines', 'Copper–organic frameworks assembled from in situ generated 5-(4-pyridyl)tetrazole building blocks: synthesis, structural features, topological analysis and\xa0…', 'Oxovanadium (IV) and-(V) complexes of dithiocarbazate-based tridentate schiff base ligands: syntheses, structure, and photochemical reactivity of compounds involving imidazole\xa0…', 'Honeycomb nets with interpenetrating frameworks involving iminodiacetato− copper (II) blocks and bipyridine spacers: syntheses, characterization, and magnetic studies', 'Bi-and trinuclear copper (II) complexes of a sterically constrained phenol-based tetradentate ligand: syntheses, structures, and magnetic studies']",45.0,"[""Coordination Chemistry"", ""Inorganic Chemistry"", ""Organic Chemistry"", ""Materials Chemistry"", ""Bioorganic Chemistry""]"
Dr Srimanta Pakhira,"Associate Professor, Indian Institute of Technology Indore","2D Materials, Theoretical Condensed Matter Physics, and Computational Materials Science",3105,https://scholar.google.com/citations?hl=en&user=QVDd22wAAAAJ,31.0,75.0,"['S‑Doped MoP nanoporous layer toward high-efficiency hydrogen evolution in pH-Universal electrolyte', 'Low-temperature synthesis of heterostructures of transition metal dichalcogenide alloys (WxMo1–xS2) and graphene with superior catalytic performance for hydrogen evolution', 'Apically dominant mechanism for improving catalytic activities of N‐doped carbon nanotube arrays in rechargeable zinc–air battery', 'Large and Uniform Single Crystals of MoS2 Monolayers for ppb-Level NO2 Sensing', 'Reaction-driven restructuring of defective PtSe2 into ultrastable catalyst for the oxygen reduction reaction', 'Recent advancements of two-dimensional transition metal dichalcogenides and their applications in electrocatalysis and energy storage', 'Iron intercalation in covalent–organic frameworks: A promising approach for semiconductors', 'Hybridization of Co3O4 and α-MnO2 Nanostructures for High-Performance Nonenzymatic Glucose Sensing', 'Synthesis and Characterization of Tris-chelate Complexes for Understanding f‑Orbital Bonding in Later Actinides', 'Achieving Fast and Efficient K+ Intercalation on Ultrathin Graphene Electrodes Modified by a Li+ Based Solid-Electrolyte Interphase']",46.0,"[""Electrochemical Energy Conversion and Storage"", ""Catalysis and Catalytic Materials"", ""Two-Dimensional Materials and Devices"", ""Advanced Inorganic Materials and Synthesis""]"
Dr. Anjan Chakraborty,"Professor, IIT Indore","Liposomes, Lipid bilayers, Nanoparticles, Photophysics",3096,https://scholar.google.com/citations?hl=en&user=-vP2_HAAAAAJ,33.0,65.0,"['Zeolitic imidazole framework (ZIF) nanospheres for easy encapsulation and controlled release of an anticancer drug doxorubicin under different external stimuli: a way toward\xa0…', 'Dynamics of solvation and rotational relaxation of coumarin 153 in ionic liquid confined nanometer-sized microemulsions', 'Dynamics of solvent relaxation in room temperature ionic liquids', 'Effect of water, methanol, and acetonitrile on solvent relaxation and rotational relaxation of coumarin 153 in neat 1-hexyl-3-methylimidazolium hexafluorophosphate', 'Interaction of ionic liquid with water in ternary microemulsions (Triton X-100/water/1-butyl-3-methylimidazolium hexafluorophosphate) probed by solvent and rotational\xa0…', 'Study of energy transfer from 7-amino coumarin donors to rhodamine 6G acceptor in non-aqueous reverse micelles', 'Photoinduced electron transfer in a protein− surfactant complex: Probing the interaction of SDS with BSA', 'Synthesis, optical properties, and surface enhanced Raman scattering of silver nanoparticles in nonaqueous methanol reverse micelles', 'Intramolecular charge transfer and solvation dynamics of Nile Red in the nanocavity of cyclodextrins', 'Probing protein-surfactant interaction by steady state and time-resolved fluorescence spectroscopy']",47.0,"[""Nanomaterials and Nanoscale Materials"", ""Solvents and Solvation Dynamics"", ""Photochemistry and Photophysics"", ""Molecular Interactions and Interfaces"", ""Bioconjugates and Biomimetics""]"
Prabhat Kumar Upadhyay,"Professor, Electrical Engineering, IIT Indore","Wireless and Mobile Communications, Cooperative and Cognitive Radio Techniques, MIMO Channels, IoT Networks, Molecular Communica",3088,https://scholar.google.com/citations?hl=en&user=6Pm4c5kAAAAJ,30.0,78.0,"['Performance analysis of overlay spectrum sharing in hybrid satellite-terrestrial systems with secondary network selection', 'Max-max user-relay selection scheme in multiuser and multirelay hybrid satellite-terrestrial relay systems', 'Adaptive user pairing for NOMA systems with imperfect SIC', 'Physical layer security of multiuser multirelay hybrid satellite-terrestrial relay networks', 'On the performance of NOMA-assisted overlay multiuser cognitive satellite-terrestrial networks', 'Performance analysis of multi-antenna multiuser hybrid satellite-terrestrial relay systems for mobile services delivery', 'Performance of Two-Way Opportunistic Relaying With Analog Network Coding Over Nakagami-  Fading', 'On the double-generalized gamma statistics and their application to the performance analysis of V2V communications', 'Performance of analog network coding with asymmetric traffic requirements', 'Experimental investigation on thermal characteristics of hot surface by synthetic jet impingement']",48.0,"[""Wireless Communications"", ""Relay Networks"", ""NOMA (Non-Orthogonal Multiple Access)""]"
Prof. Vinod kumar,"Professor and Former Head, Metallurgical Engineering and Materials Science; IIT Indore …","High Entropy Alloys, Physical Metallurgy, Powder Metallurgy, Material Science and Engineering",2988,https://scholar.google.com/citations?hl=en&user=n782qToAAAAJ,30.0,71.0,"['A review on High-Temperature Applicability: A milestone for high entropy alloys', 'A comprehensive review of the prospects for future hydrogen storage in materials‐application and outstanding issues', 'Structure and Properties of Lightweight High Entropy Alloys: A Brief Review', 'Polyaniline–Carbon Nanotube Composites: Preparation Methods, Properties and Applications', 'Structural evolution of spark plasma sintered AlFeCuCrMgx (x= 0, 0.5, 1, 1.7) high entropy alloys', 'Synthesis and thermal analysis of polyaniline (PANI)', 'Synthesis and characterization of hybrid PANI/MWCNT nanocomposites for EMI applications', 'Microstructure evolution and texture development in thermomechanically processed Mg–Li–Al based alloys', 'Synthesis and characterization of hydrogenated novel AlCrFeMnNiW high entropy alloy', 'Synthesis of AlFeCuCrMgx (x = 0, 0.5, 1, 1.7) alloy powders by mechanical alloying']",49.0,"[""Metallurgy and Materials Science"", ""High Entropy Alloys"", ""Composite Materials"", ""Electrochemical Applications"", ""Structural and Property Analysis""]"
Dr. Ritunesh Kumar,"Professor, IIT Indore & Gdansk University of Technology","Desiccant cooling, heat transfer in microchannels, biofuels",2936,https://scholar.google.com/citations?hl=en&user=UXLP-nIAAAAJ,24.0,34.0,"['Improving biodegradability and biogas production of wheat straw substrates using sodium hydroxide and hydrothermal pretreatments', 'Microalgae biodiesel: A review on oil extraction, fatty acid composition, properties and effect on engine performance and emissions', 'Twenty first century cooling solution: Microchannel heat sinks', 'Perspectives of microalgal biofuels as a renewable source of energy', 'Numerical investigation of heat transfer in extended surface microchannels', 'Enhancing methane production in anaerobic digestion through hydrogen assisted pathways–A state-of-the-art review', 'Effect of circular pin-fins geometry and their arrangement on heat transfer performance for laminar flow in microchannel heat sink', 'A data-driven strategy using long short term memory models and reinforcement learning to predict building electricity consumption', 'Selection of microalgae species based on their lipid content, fatty acid profile and apparent fuel properties for biodiesel production', 'Development of new wire mesh packings for improving the performance of zero carryover spray tower']",50.0,"[""Biomass Utilization and Conversion"", ""Bioenergy and Biogas Production"", ""Microbial Fuels and Biofuels"", ""Heat Transfer and Cooling Solutions"", ""Data-Driven Systems and Analytics""]"
Suman Majumdar,"Associate Professor, Indian Institute of Technology Indore, India","Cosmic Dawn, Large Scale Structures, Reionization, Cosmology, Statistical Inference",2893,https://scholar.google.com/citations?hl=en&user=-ceigSYAAAAJ,28.0,50.0,"['Upper limits on the 21 cm epoch of reionization power spectrum from one night with LOFAR', 'The cosmic dawn and epoch of reionisation with SKA', 'Quantifying the non-Gaussianity in the EoR 21-cm signal through bispectrum', 'The cosmic dawn and epoch of reionization with the square kilometre array', 'On the use of seminumerical simulations in predicting the 21-cm signal from the epoch of reionization', 'Light cone effect on the reionization 21-cm signal–II. Evolution, anisotropies and observational implications', 'The effect of non-Gaussianity on error predictions for the Epoch of Reionization (EoR) 21-cm power spectrum', 'HI tomographic imaging of the Cosmic Dawn and Epoch of Reionization with SKA', 'Statistics of the epoch of reionization (EoR) 21-cm signal–II. The evolution of the power-spectrum error-covariance', 'A fast estimator for the bispectrum and beyond–a practical method for measuring non-Gaussianity in 21-cm maps']",51.0,"[""Cosmology"", ""High Energy Astrophysics"", ""Radio Astronomy"", ""Particle Astrophysics"", ""High-Resolution Cosmological Surveys""]"
Pritee Sharma,"Professor, Mehta Family School of Sustainability, Indian Institute of Technology Indore","Agricultural Economics, Environmental Economics",2849,https://scholar.google.com/citations?hl=en&user=gLINaYEAAAAJ,27.0,51.0,"['Analyzing trend and forecasting of rainfall changes in India using non-parametrical and machine learning approaches', 'A review of literature on climate change and its impacts on agriculture productivity', 'Analyzing the progress and prospects of financial inclusion in India', 'Impact of climate variation on agricultural productivity and food security in rural India', 'Climate change and its impacts on Indian agriculture: An econometric analysis', 'Assessing the impacts of climate change on land productivity in Indian crop agriculture: An evidence from panel data analysis', 'Coupling geographic information system integrated fuzzy logic-analytical hierarchy process with global and machine learning based sensitivity analysis for agricultural\xa0…', 'Climate change and sugarcane productivity in India: An econometric analysis', 'Influence of climatic and non-climatic factors on sustainable food security in India: A statistical investigation', 'Climatic effects on food grain productivity in India']",52.0,"[""Climate Change and Agriculture"", ""Econometrics and Agricultural Economics"", ""Geographic Information Systems"", ""Sustainable Development""]"
Dhinakaran Shanmugam,"Professor,  IIT Indore (Mechanical Engineering)","CFD & Heat Transfer, Porous Media, Biomedical Engineering, Energy",2833,https://scholar.google.com/citations?hl=en&user=cWUUSOUAAAAJ,24.0,30.0,"['Energy storage systems: A review', 'Fluid motion around and through a porous cylinder', 'Steady viscoelastic fluid flow between parallel plates under electro-osmotic forces: Phan-Thien–Tanner model', 'Effective viscosity of nanofluids—A modified Krieger–Dougherty model based on particle size distribution (PSD) analysis', 'Heat transfer from a permeable square cylinder to a flowing fluid', 'Performance improvement of a flat-plate solar collector by inserting intermittent porous blocks', 'Development of skin-on-a-chip platforms for different utilizations: Factors to be considered', 'Numerical study on performance improvement of a flat-plate solar collector filled with porous foam', 'MHD Natural convection around a permeable triangular cylinder inside a square enclosure filled with Al2O3− H2O nanofluid: An LBM study', 'Forced convective heat transfer of nanofluids around a circular bluff body with the effects of slip velocity using a multi-phase mixture model']",53.0,"[""Heat Transfer"", ""Fluid Mechanics"", ""Nanofluids"", ""Solar Energy"", ""Magnetohydrodynamics""]"
Dr. Vipul Singh,"Professor, Department of Electrical Engineering, Indian Institute of Technology Indore","Organic Electronics, Si Nanodevices, MOSFETs and OFETs and Photovoltaics, Sensors based on ZnO, SPR effect",2638,https://scholar.google.com/citations?hl=en&user=xq7yX4UAAAAJ,28.0,75.0,"['Enhancement of triboelectric nanogenerator output performance by laser 3D-Surface pattern method for energy harvesting application', 'Enhancement of transport characteristics in poly (3-hexylthiophene) films deposited with floating film transfer method', 'Phytoremediation Mechanism in Indian Mustard (Brassica juncea) and Its Enhancement Through Agronomic Interventions', 'Bandgap engineering in CuO nanostructures: Dual-band, broadband, and UV-C photodetectors', 'Electrical characterization and parameter extraction of organic thin film transistors using two dimensional numerical simulations', 'La-doped ZnO ultra-flexible flutter-Piezoelectric Nanogenerator for Energy Harvesting and Sensing Applications: A Novel Renewable Source of Energy', 'Development of Sn doped ZnO based ecofriendly piezoelectric nanogenerator for energy harvesting application', 'Role of Surface Plasmon Decay Mediated Hot Carriers toward the Photoluminescence Tuning of Metal-Coated ZnO Nanorods', 'Novel interfacial bulk heterojunction technique for enhanced response in ZnO nanogenerator', 'Influence of aspect ratio and surface defect density on hydrothermally grown ZnO nanorods towards amperometric glucose biosensing applications']",54.0,"[""Energy Harvesting and Conversion"", ""Nanomaterials and Nanodevices"", ""Photoelectronic Devices"", ""Biosensing""]"
Korimilli Eswar Prasad,Indian Institute of Technology,"Mechanical behavior of materials, Nano and Micro indentation, Insitu micro-mechanical testing, High strain rate deformation",2376,https://scholar.google.com/citations?hl=en&user=LiDYSBQAAAAJ,22.0,39.0,"['Nano-indentation studies on polymer matrix composites reinforced by few-layer graphene', 'Extraordinary synergy in the mechanical properties of polymer matrix composites reinforced with 2 nanocarbons', 'Mechanical properties of nanodiamond-reinforced polymer-matrix composites', 'Micropillar and macropillar compression responses of magnesium single crystals oriented for single slip or extension twinning', 'On the strain rate sensitivity of plastic flow in metallic glasses', 'Hardness and mechanical anisotropy of hexagonal SiC single crystal polytypes', 'The dynamic flow and failure behavior of magnesium and magnesium alloys', 'Analysis of indentation size effect (ISE) in nanoindentation hardness in polycrystalline PMN-PT piezoceramics with different domain configurations', 'Temperature dependence of mechanical properties and pressure sensitivity in metallic glasses below glass transition', 'In-situ quantitative TEM investigation on the dynamic evolution of individual twin boundary in magnesium under cyclic loading']",55.0,"[""Mechanical Engineering"", ""Materials Science""]"
Debayan Sarkar,"Associate Professor, Indian Institute of Technology Indore, India","Organic Synthesis, Dearomatisation, Catalysis",2344,https://scholar.google.com/citations?hl=en&user=tobGYYsAAAAJ,19.0,43.0,"['Epidemiology, clinical profile, management, and outcome of COVID-19-associated rhino-orbital-cerebral mucormycosis in 2826 patients in India–Collaborative OPAI-IJO Study on\xa0…', 'Use of π–π forces to steer the assembly of chromone derivatives into hydrogen bonded supramolecular layers: crystal structures and Hirshfeld surface analyses', 'On the possibility of tuning molecular edges to direct supramolecular self-assembly in coumarin derivatives through cooperative weak forces: crystallographic and Hirshfeld\xa0…', 'Insight into supramolecular self-assembly directed by weak interactions in acetophenone derivatives: crystal structures and Hirshfeld surface analyses', '[2+ 2] Photochemical cycloaddition in organic synthesis', 'A dual-app nucleoside probe provides structural insights into the human telomeric overhang in live cells', 'members of the Collaborative OPAI-IJO Study on Mucormycosis in COVID-19 (COSMIC) Study Group. Epidemiology, clinical profile, management, and outcome of COVID-19-associated\xa0…', 'Transbronchial decompression of emphysematous bullae: a new therapeutic approach', 'Phenyl trimethyl ammonium tribromide mediated robust one-pot synthesis of spiro-oxacycles–an economic route–stereoselective synthesis of oxaspirohexacyclodieneones', 'Total synthesis of alboatrin, a phytotoxic metabolite from Verticillium alboatrum']",56.0,"[""Infectious Diseases"", ""Crystallography and Crystal Structure Determination"", ""Supramolecular Chemistry"", ""Organic Synthesis"", ""Pharmacology and Nucleic Acids""]"
Bodhisatwa Mazumdar,"Associate Professor, Department of Computer Science and Engineering, Indian Institute of …","Hardware security, Side-channel attacks.",2244,https://scholar.google.com/citations?hl=en&user=ea-e9TwAAAAJ,20.0,26.0,"['SARLock: SAT attack resistant logic locking', 'Removal attacks on logic locking and camouflaging techniques', 'Security analysis of anti-sat', 'CamoPerturb: Secure IC camouflaging for minterm protection', 'Redefining the transparency order', 'Security analysis of logic encryption against the most effective side-channel attack: DPA', 'Security vulnerabilities against fingerprint biometric system', 'Constrained Search for a Class of Good Bijective -Boxes With Improved DPA Resistivity', 'TTLock: Tenacious and traceless logic locking', 'Efficient keyword matching for deep packet inspection based network traffic classification']",57.0,"[""Computer Security"", ""Hardware Security"", ""Side-Channel Analysis"", ""Biometric Security""]"
Hitendra Kumar,"Biofabrication Laboratory, Indian Institute of Technology Indore","Biomaterials, Bioprinting, Tissue Engineering, Computer Vision, Mechatronics",2055,https://scholar.google.com/citations?hl=en&user=p0uf5hcAAAAJ,23.0,26.0,"['Visible light photoinitiation of cell-adhesive gelatin methacryloyl hydrogels for stereolithography 3D bioprinting', 'Metal‐organic framework reinforced highly stretchable and durable conductive hydrogel‐based triboelectric nanogenerator for biomotion sensing and wearable human‐machine interfaces', 'Stereolithography 3D bioprinting', 'Designing Gelatin Methacryloyl (GelMA)‐Based Bioinks for Visible Light Stereolithographic 3D Biofabrication', 'Stereolithography 3D bioprinting method for fabrication of human corneal stroma equivalent', 'The Effect of Crosslinking Degree of Hydrogels on Hydrogel Adhesion', 'Rapid and Inexpensive Fabrication of Multi-Depth Microfluidic Device using High-Resolution LCD Stereolithographic 3D Printing', 'Recent advances in organ‐on‐chips integrated with bioprinting technologies for drug screening', 'Tunable metacrylated hyaluronic acid-based hybrid bioinks for stereolithography 3D bioprinting', 'An integrated microfluidic flow-focusing platform for on-chip fabrication and filtration of cell-laden microgels']",58.0,"[""Bioprinting and Biomaterials"", ""3D Bioprinting"", ""Hydrogels and Gelatin"", ""Microfluidics and Microfabrication"", ""Cellular Engineering and Sensing""]"
Keshav Aggarwal,Indian Institute of Technology Indore,"Exoplanets, Solar physics, Solar system",2026,https://scholar.google.com/citations?hl=en&user=KO8MtmEAAAAJ,9.0,9.0,"['Early Release Science of the exoplanet WASP-39b with JWST NIRSpec PRISM', 'Early Release Science of the exoplanet WASP-39b with JWST NIRSpec G395H', 'Photochemically produced SO2 in the atmosphere of WASP-39b', 'Identification of carbon dioxide in an exoplanet atmosphere', 'A broadband thermal emission spectrum of the ultra-hot Jupiter WASP-18b', 'Sulfur dioxide in the mid-infrared transmission spectrum of WASP-39b', 'Nightside clouds and disequilibrium chemistry on the hot Jupiter WASP-43b', 'A benchmark JWST near-infrared spectrum for the exoplanet WASP-39 b', 'Detection of carbon monoxide’s 4.6 micron fundamental band structure in WASP-39b’s atmosphere with JWST NIRSpec G395H', 'Insights into Solar Wind Flow Speeds from the Coronal Radio Occultation Experiment: Findings from the Indian Mars Orbiter Mission']",59.0,"[""Exoplanet Atmospheres and Characterization"", ""Space Missions and Instruments""]"
Neminath Hubballi ನೇಮಿನಾಥ ಹುಬ್ಬಳ್ಳಿ,"Professor, Indian Institute of Technology Indore","Network Security, Computer Networks",2016,https://scholar.google.com/citations?hl=en&user=tER-kV0AAAAJ,24.0,43.0,"['False alarm minimization techniques in signature-based intrusion detection systems: A survey', 'OCPAD: One class Naive Bayes classifier for payload based anomaly detection', 'Application layer denial-of-service attacks and defense mechanisms: A survey', 'Slow rate denial of service attacks against HTTP/2 and detection', 'How secure are web servers? An empirical study of slow HTTP DoS attacks and detection', '$ Bitcoding $: Network traffic classification through encoded bit level signatures', 'Efficient keyword matching for deep packet inspection based network traffic classification', 'A closer look into DHCP starvation attack in wireless networks', 'LAN attack detection using discrete event systems', 'Sequencegram: n-gram modeling of system calls for program based anomaly detection']",60.0,"[""Network Security and Intrusion Detection"", ""Anomaly Detection"", ""Deep Packet Inspection"", ""Wireless Networks"", ""System Call Analysis""]"
Sumanta Samal,"Department of Metallurgical Engineering and Materials Science, Indian Institute of …",,1956,https://scholar.google.com/citations?hl=en&user=_ovvQcQAAAAJ,26.0,55.0,"['Five decades of research on the development of eutectic as engineering materials', 'Hot deformation behaviour and processing map of Co-Cu-Fe-Ni-Ti eutectic high entropy alloy', 'Experimental and finite element simulation studies on hot deformation behaviour of AlCoCrFeNi2. 1 eutectic high entropy alloy', 'Solidification behaviour of Ti–Cu–Fe–Co–Ni high entropy alloys', 'Microstructure and mechanical properties of Ti-Al-Ni-Co-Fe based high entropy alloys prepared by powder metallurgy route', 'Processing and Consolidation of Nanocrystalline Cu-Zn-Ti-Fe-Cr High-Entropy Alloys via Mechanical Alloying', 'Machine-learning-guided phase identification and hardness prediction of Al-Co-Cr-Fe-Mn-Nb-Ni-V containing high entropy alloys', 'Microstructure exploration and an artificial neural network approach for hardness prediction in AlCrFeMnNiWx High-Entropy Alloys', 'Development of ultrahigh strength novel Co–Cr–Fe–Ni–Zr quasi-peritectic high entropy alloy by an integrated approach using experiment and simulation', 'Hot workability of Co–Fe–Mn–Ni–Ti eutectic high entropy alloy']",61.0,"[""Metallurgy"", ""Materials Science"", ""High Entropy Alloys""]"
Sandesh S. Chougule,Indian Institute of Technology Indore,"Nanomaterials, Solar Energy, Heat Pipes, Jet Impingement, Electronics Cooling",1926,https://scholar.google.com/citations?hl=en&user=sygGWRsAAAAJ,24.0,36.0,"['Prioritization of barriers to the development of renewable energy technologies in India using integrated Modified Delphi and AHP method', 'Comparative study of cooling performance of automobile radiator using Al2O3-water and carbon nanotube-water nanofluid', 'An Experimental Investigation on Heat Transfer Characteristics of Hot Surface by Using CuO–Water Nanofluids in Circular Jet Impingement Cooling', 'Thermal performance of automobile radiator using carbon nanotube-water nanofluid—experimental study', 'Thermal performance of two phase thermosyphon flat-plate solar collectors using nanofluid', 'Optimization of jet impingement heat transfer: A review on advanced techniques and parameters', 'Heat transfer and friction characteristics of Al 2 O 3/water and CNT/water nanofluids in transition flow using helical screw tape inserts–a comparative study', 'Investigating a novel Ag/ZnO based hybrid nanofluid for sustainable machining of inconel 718 under nanofluid based minimum quantity lubrication', 'Performance of Nanofluid-Charged Solar Water Heater by Solar Tracking System', 'Heat Transfer Characteristics of Free Nanofluid Impinging Jet on Flat Surface with Different Jet to Plate Distance: An Experimental Investigation']",62.0,"[""Renewable Energy and Sustainability"", ""Thermal Engineering and Fluid Dynamics"", ""Nanotechnology and Materials Science"", ""Heat Transfer and Fluid Mechanics""]"
Pushpa Choudhary,"Assistant Professor, IIT Indore","Road Safety, Intelligent Transportation System, Road user behaviour, Human factors in Transportation",1913,https://scholar.google.com/citations?hl=en&user=unUZoZAAAAAJ,21.0,30.0,"['Modelling driver distraction effects due to mobile phone use on reaction time', 'Mobile phone use during driving: effects on speed and effectiveness of driver compensatory behaviour', 'Analysis of vehicle-based lateral performance measures during distracted driving due to phone use', 'Impacts of speed variations on freeway crashes by severity and vehicle type', 'Effects of driver work-rest patterns, lifestyle and payment incentives on long-haul truck driver sleepiness', 'Modelling braking behaviour and accident probability of drivers under increasing time pressure conditions', 'Effects of phone use on driving performance: A comparative analysis of young and professional drivers', 'Overall performance impairment and crash risk due to distracted driving: A comprehensive analysis using structural equation modelling', 'Modelling work-and non-work-based trip patterns during transition to lockdown period of COVID-19 pandemic in India', 'Perceived risk vs actual driving performance during distracted driving: A comparative analysis of phone use and other secondary distractions']",63.0,"[""Transportation Engineering"", ""Human Factors in Engineering""]"
Prakash Gaikwad,"Assistant Professor, Indian Institute of Technology, Indore, India","Cosmology, Astrophysics, Intergalactic Medium, Galaxy Formation and Evolution",1897,https://scholar.google.com/citations?hl=en&user=00RA_t8AAAAJ,19.0,24.0,"['Probing the thermal state of the intergalactic medium at z > 5 with the transmission spikes in high-resolution \u2009Ly\u2009α forest spectra', 'The redshift evolution of escape fraction of hydrogen ionizing photons from galaxies', 'A consistent and robust measurement of the thermal state of the IGM at 2≤ z≤ 4 from a large sample of Ly α forest spectra: evidence for late and rapid He II reionization', 'Long Dark Gaps in the Lyβ Forest at z < 6: Evidence of Ultra-late Reionization from XQR-30 Spectra', 'Measuring the photoionization rate, neutral fraction, and mean free path of H\u2009i ionizing photons at 4.9 ≤ z ≤ 6.0 from a large sample of XShooter and ESI spectra', 'Unveiling dark matter free streaming at the smallest scales with the high redshift Lyman-alpha forest', 'XQR-30: The ultimate XSHOOTER quasar sample at the reionization epoch', 'Probing Ultralate Reionization: Direct Measurements of the Mean Free Path over 5 < z < 6', 'The Sherwood–Relics simulations: overview and impact of patchy reionization and pressure smoothing on the intergalactic medium', 'Damping wings in the Lyman-α forest: A model-independent measurement of the neutral fraction at 5.4 < z < 6.1']",64.0,"[""Cosmology and Astrophysics"", ""Galactic and Cosmological Plasmas"", ""Extragalactic Astronomy and Astrophysics"", ""High Energy Astrophysical Phenomena""]"
Dr. Bhargav Vaidya,"Associate Professor, IIT Indore",,1888,https://scholar.google.com/citations?hl=en&user=oc97opEAAAAJ,25.0,41.0,"['A particle module for the PLUTO code. II. Hybrid framework for modeling nonthermal emission from relativistic magnetized flows', 'Synchrotron radiation of self-collimating relativistic magnetohydrodynamic jets', 'Search and analysis of giant radio galaxies with associated nuclei (SAGAN) I. New sample and multi-wavelength studies', 'A particle module for the pluto code. I. An implementation of the MHD–PIC equations', 'Bipolar jets launched from magnetically diffusive accretion disks. I. ejection efficiency versus field strength and diffusivity', 'Simulating the dynamics and non-thermal emission of relativistic magnetized jets I. Dynamics', 'Jet formation from massive young stars: Magnetohydrodynamics versus radiation pressure', 'Accretion Disks Around Massive Stars: Hydrodynamic Structure, Stability, and Dust Sublimation', 'Morphology of radio relics–I. What causes the substructure of synchrotron emission?', 'Simulating the dynamics and synchrotron emission from relativistic jets–II. Evolution of non-thermal electrons']",65.0,"[""High Energy Astrophysics"", ""Relativistic Jets and Accretion"", ""Magnetohydrodynamics (MHD)"", ""Astrophysical Jets and Radiation""]"
Swaminathan Ramabadran,Indian Institute of Technology Indore,"Wireless Communications, Communication Systems",1862,https://scholar.google.com/citations?hl=en&user=clwEnRYAAAAJ,23.0,45.0,"['HAPS-based relaying for integrated space–air–ground networks with hybrid FSO/RF communication: A performance analysis', 'Switching-based cooperative decode-and-forward relaying for hybrid FSO/RF networks', 'Classification of error correcting codes and estimation of interleaver parameters in a noisy transmission environment', 'Adaptive-combining-based hybrid FSO/RF satellite communication with and without HAPS', 'Comprehensive performance analysis of hovering UAV-based FSO communication system', 'Effect of pointing errors on the performance of hybrid FSO/RF networks', 'Performance analysis of hybrid FSO/RF communication over generalized fading models', 'Parameter estimation of convolutional and helical interleavers in a noisy environment', 'Blind reconstruction of Reed-Solomon encoder and interleavers over noisy environment', 'Physical layer security of HAPS-based space–air–ground-integrated network with hybrid FSO/RF communication']",66.0,"[""Wireless Communications"", ""Networks and Communication Systems"", ""Error Correction and Coding"", ""Optical Communications"", ""High Altitude Platform Stations (HAPS)""]"
