Name,Affiliation,Interests,Cited By,Profile URL,h-index,i10-index
"SUJAY CHATTOPADHYAY, IITR","Professor, Polymer & Process Eng.,  IIT Roorkee",Electromembrane Drug delivery Phase …,4594,https://scholar.google.com/citations?hl=en&user=LQADBDEAAAAJ,37,80
Yogesh Vijay  Hote,"Dept. of Electrical Engineering, IIT Roorkee",Control systems,4560,https://scholar.google.com/citations?hl=en&user=vAf0AZAAAAAJ,35,95
Writam Banerjee,"GlobalFoundries, IIT Roorkee","Non-volatile memory, Thin films, resistive switching",4538,https://scholar.google.com/citations?hl=en&user=8iKLiz4AAAAJ,39,51
Pravindra Kumar,Professor at Indian Institute of Technology Roorkee,"Structural biology, Drug resistance and Bioremediation",4527,https://scholar.google.com/citations?hl=en&user=mnrRSKUAAAAJ,36,104
Rahul Kumar Singh,IIT Roorkee,"Water, Hydrology, Hydrological Modelling, Environmental flow",4523,https://scholar.google.com/citations?hl=en&user=73HK85cAAAAJ,26,121
Dr. Santosh Rangnekar,Indian Institute of Technology Roorkee,"HRM, OB, KM, Technology Management",4521,https://scholar.google.com/citations?hl=en&user=MfhakUYAAAAJ,38,87
Arun Awasthi,"Professor of Geology, IITRoorkee, Roorkee, India",Applied Geology,4489,https://scholar.google.com/citations?hl=en&user=z-FIntcAAAAJ,36,95
Dr. Dheeraj K. Khatod,"Professor, Department of Electrical Engineering, IIT Roorkee","Power System, Renewable Energy",4463,https://scholar.google.com/citations?hl=en&user=NZ1ZMQUAAAAJ,26,55
Raj Kumar Dutta,"Professor, Department of Chemistry, Indian Institute of Technology Roorkee","Nanomaterials, Quantum dots, Sensing applications, Photocatalysis, Adsorption",4463,https://scholar.google.com/citations?hl=en&user=qrLyY6cAAAAJ,37,70
AVINASH PARASHAR,IIT Roorkee,"Atomistic simulations, molecular dynamics, nanocomposites, high entropy alloys",4446,https://scholar.google.com/citations?hl=en&user=yni96p8AAAAJ,37,83
mala nath,"Department of Chemistry, Indian Institute of Technology Roorkee","Organotin chemistry, Li-ion battery, chemical evolution, ferrites, coordination chemistry",4416,https://scholar.google.com/citations?hl=en&user=2LIHliMAAAAJ,37,89
NK Goel,IIT Roorkee,"Hydrology, Water Resources Engineering",4341,https://scholar.google.com/citations?hl=en&user=kOjtxGYAAAAJ,33,56
Rishikesh Pandey,"Indian Institute of Technology, Roorkee","Raman Spectroscopy, Biophotonics, Clinical diagnostics, Label-free imaging, Cancer",4313,https://scholar.google.com/citations?hl=en&user=wy8rKtwAAAAJ,28,37
Vivek Kumar Malik,"Department of Physics, IIT Roorkee","Thin films, Complex Oxides",4297,https://scholar.google.com/citations?hl=en&user=cvTJHo4AAAAJ,28,61
Abhijit Maiti,"Professor, Department of Polymer & Process Engineering, IIT Roorkee","Environmental engineering, Chemical Engineering, Arsenic fluoride and heavy metal removal, Membrane",4293,https://scholar.google.com/citations?hl=en&user=F7QKOXoAAAAJ,31,54
