,Name,Affiliation,Interests,Cited By,Profile URL,h-index,i10-index,Research Papers
55,Soumyabrata Roy,"Assistant Professor, Indian Institute of Technology Kanpur","Materials, CO2 Capture & Utilization, Catalysis, Energy Conversion & Storage, Solar Fuels & Devices",6319,https://scholar.google.com/citations?hl=en&user=9H30M4kAAAAJ,37,64,"['Structure, properties and applications of two‐dimensional hexagonal boron nitride', 'Seawater Electrolysis for Hydrogen Production: A Solution Looking for a Problem?', 'Thermochemical CO2 Hydrogenation to Single Carbon Products: Scientific and Technological Challenges', 'High-Density Cobalt Single-Atom Catalysts for Enhanced Oxygen Evolution Reaction', 'Multifunctional bio‐nanocomposite coatings for perishable fruits', 'Structure‐Tailored Surface Oxide on Cu–Ga Intermetallics Enhances CO2 Reduction Selectivity to Methanol at Ultralow Potential', 'Graphene Supported MoS2 Structures with High Defect Density for an Efficient HER Electrocatalysts', 'Engineered two-dimensional transition metal dichalcogenides for energy conversion and storage', 'Biomass Derived Hierarchical Porous Carbon for Supercapacitor Application and Dilute Stream CO2 Capture', 'Amine Functionalized Carbon Nanodots Electrocatalysts Converting Carbon Dioxide to Methane']"
56,Ravi Pratap Singh,Department of Physics IIT Kanpur,"Plasma physics, optics",6315,https://scholar.google.com/citations?hl=en&user=MqM-OEMAAAAJ,28,163,"['HAWK and HARRIER: phase 3, multicenter, randomized, double-masked trials of brolucizumab for neovascular age-related macular degeneration', 'Head and Neck Cancer: United Kingdom National Multidisciplinary Guidelines, –ERRATUM', 'Craters and nanostructures with laser ablation of metal/metal alloy in air and liquid', 'Effect of Elevated CO2 and Temperature on Nitrogen Dynamics and Microbial Activity During Wheat (Triticum aestivum L.) Growth on a Subtropical Inceptisol in India', ""Comparative evaluation of early vs. deferred vitrectomy in Eales' disease"", 'Effect of potassium level and foliar application of nutrient on growth and yield of late sown chickpea (Cicer arietinum L.)', 'Evaluation of vermicompost doses for management of root-rot disease complex in Coleus forskohlii under organic field conditions', 'Role of antiferromagnetic interlayer coupling on magnetic properties of', 'Impact of bee pollination on seed yield, carbohydrate composition and lipid composition of mustard seed', 'Effect of nitrogen, bulb size and plant density on growth, flowering and yield of tuberose']"
57,Nishchal K Verma,Indian Institute of Technology Kanpur,"Artificial Intelligence, LLMs, PHM, Computer Vision, Soft-computing and Industrial Automation",6125,https://scholar.google.com/citations?hl=en&user=Iir1EBsAAAAJ,38,154,"['CNN-based transformer model for fault detection in power system networks', 'Intelligent condition based monitoring using acoustic signals for air compressors', 'Intelligent fault diagnosis of rotary machines: Conditional auxiliary classifier GAN coupled with meta learning using limited data', 'Transfer learning for molecular cancer classification using deep neural networks', 'Adaptive type-2 fuzzy approach for filtering salt and pepper noise in grayscale images', 'Generating feature sets for fault diagnosis using denoising stacked auto-encoder', 'Intelligent condition based monitoring of rotating machines using sparse auto-encoders', 'A wide-area damping controller considering network input and output delays and packet drop', 'Adaptive critic-based event-triggered control for HVAC system', 'Event-triggered sliding mode control for trajectory tracking of nonlinear systems']"
58,Anjali Pandey,"Indian Institute of Technology, Kanpur","Microbiology, Toxins, Enzymes",6107,https://scholar.google.com/citations?hl=en&user=TtF2KckAAAAJ,28,91,"['Bacterial decolorization and degradation of azo dyes', 'Third imo ghg study 2014', 'Third IMO greenhouse gas study 2014', 'Tamarind seed powder and palm kernel cake: two novel agro residues for the production of tannase under solid state fermentation by Aspergillus niger ATCC 16620', 'Antibiotic adjuvants: synergistic tool to combat multi-drug resistant pathogens', 'Lutzomyia whitmani (Diptera: Psychodidae) as vector of Leishmania (V.) braziliensis in Paraná state, southern Brazil', 'Impacts of increasing ozone on Indian plants', 'Late Quaternary tectonic evolution of Dun in fault bend/propagated fold system, Garhwal Sub-Himalaya', 'The frequency of live bacteria in gallstones', 'Study about the storage stability of guava beverages.']"
59,Durgesh Rai,Indian Institute of Technology Kanpur,Structural/ Earthquake Engineering,6103,https://scholar.google.com/citations?hl=en&user=ZBglEkoAAAAJ,39,89,"['Stress-strain characteristics of clay brick masonry under uniaxial compression', 'Seismic design guide for low-rise confined masonry buildings', 'Code Approaches to Seismic Design of Masonry‐Infilled Reinforced ConcreteFrames: A State‐of‐the‐Art Review', 'Effect of in-plane damage on out-of-plane strength of unreinforced masonry walls', 'Effectiveness of reinforcement details in exterior reinforced concrete beam-column joints for earthquake resistance', 'Uniaxial compressive stress–strain model for clay brick masonry', 'Seismic evaluation and upgrading of chevron braced frames', 'Effectiveness of some strengthening options for masonry-infilled RC frames with open first story', 'Seismic strengthening of RC columns using external steel cage', 'Design and evaluation of seismic strengthening techniques for reinforced concrete frames with soft ground story']"
60,Arjun Bagchi,"Professor at Indian Institute of Technology, Kanpur.","Holography, String Theory.",6036,https://scholar.google.com/citations?hl=en&user=SdvKG-kAAAAJ,40,65,"['Galilean conformal algebras and AdS/CFT', 'Correspondence between asymptotically flat spacetimes and nonrelativistic conformal field theories', 'Holography of 3D flat cosmological horizons', 'Flat Holography: Aspects of the dual field theory', 'Scattering Amplitudes: Celestial and Carrollian', 'BMS/GCA redux: towards flatspace holography from non-relativistic symmetries', 'GCA in 2d', 'Entanglement entropy in Galilean conformal field theories and flat holography', 'Flat-space chiral gravity', 'Spin-3 gravity in three-dimensional flat space']"
61,Mainak Das,"Professor, Deaprtment of Design, Indian Institute of Technology Kanpur","Bio-Electricity, Bio-Electrodes, Protein Bio-Battery, Sustainable Agriculture",5978,https://scholar.google.com/citations?hl=en&user=ZeV2Vk8AAAAJ,40,66,"['Auto-catalytic ceria nanoparticles offer neuroprotection to adult rat spinal cord neurons', 'Inkjet printing for high-throughput cell patterning', 'Heavily nitrogen doped, graphene supercapacitor from silk cocoon', 'Seed treatment with iron pyrite (FeS2) nanoparticles increases the production of spinach', 'Cerium oxide nanoparticles protect rodent lungs from hypobaric hypoxia-induced oxidative stress and inflammation', 'Electrophysiological characterization of embryonic hippocampal neurons cultured in a 3D collagen hydrogel', 'Embryonic motoneuron-skeletal muscle co-culture in a defined system', 'A defined long-term in vitro tissue engineered model of neuromuscular junctions', 'Measurement of contractile stress generated by cultured rat muscle on silicon cantilevers for toxin detection and muscle performance enhancement', 'Differentiation of skeletal muscle and integration of myotubes with silicon microstructures using serum-free medium and a synthetic silane substrate']"
62,Amit Dutta,"Professor of Physics, IIT Kanpur",condensed matter physics,5958,https://scholar.google.com/citations?hl=en&user=mCMDe6MAAAAJ,37,80,"['quantun ising phases and transitions in transverse Ising models', 'Quantum phase transitions in transverse field spin models: from statistical physics to quantum information', 'Quantum annealing: An overview', 'Floquet generation of Majorana end modes and topological invariants', 'Quantum thermal machines and batteries', 'Phase transitions in the quantum Ising and rotor models with a long-range interaction', 'Quenching dynamics of a quantum XY spin-1 2 chain in a transverse field', 'Mixed state dynamical quantum phase transitions', 'Slow quenches in a quantum Ising chain: dynamical phase transitions and topology', 'Probing the role of long-range interactions in the dynamics of a long-range Kitaev chain']"
63,Basker SUNDARARAJU FRSC,"Professor, Department of chemistry, IIT, kanpur","Organometallic chemistry, catalysis",5941,https://scholar.google.com/citations?hl=en&user=sVsWTFcAAAAJ,44,69,"['Transition metal catalyzed nucleophilic allylic substitution: activation of allylic alcohols via π-allylic species', 'A functional-group-tolerant catalytic trans hydrogenation of alkynes', 'A trans‐Selective Hydroboration of Internal Alkynes', 'Cobalt (III)‐Catalyzed Dehydrative [4+ 2] Annulation of Oxime with Alkyne by C\uf8ff H and N\uf8ff OH Activation', 'Light‐driven hydrogen generation: efficient iron‐based water reduction catalysts', 'sp3 C–H Bond Activation with Ruthenium(II) Catalysts and C(3)-Alkylation of Cyclic Amines', 'Cp* Co (III)-Catalyzed C (sp3)–H Bond Activation: A Highly Stereoselective and Regioselective Alkenylation of 8‑Methylquinoline with Alkynes', 'Cobalt catalyzed C–H and N–H bond annulation of sulfonamide with terminal and internal alkynes', 'Weak-coordination in C–H bond functionalizations catalyzed by 3d metals', 'Cp*CoIII‐Catalyzed C(sp3)−H Bond Amidation of 8‐Methylquinoline']"
64,NAMDEO S. GAJBHIYE,Indian Institute of Technology Kanpur,"Material Science, Nano-materials, Magnetic Nanoparticles",5675,https://scholar.google.com/citations?hl=en&user=sMtYYwcAAAAJ,45,114,"['Induction heating studies of Fe3O4 magnetic nanoparticles capped with oleic acid and polyethylene glycol for hyperthermia', 'Magnetic studies of nanosized nickel ferrite particles synthesized by the citrate precursor technique', 'Synthesis, electron transport properties of transition metal nitrides and applications', 'Magnetic properties of interacting single domain Fe3O4 particles', 'Synthesis, characterization and studies on magnetic and electrical properties of Mg ferrite with Cr substitution', 'Electronic properties of 4-nm FePt particles', 'Innovative synthesis of citrate-coated superparamagnetic Fe3O4 nanoparticles and its preliminary applications', 'Synthesis and characterization of single-crystalline α-MoO3 nanofibers for enhanced Li-ion intercalation applications', 'EPR evidence for activation of trap centers in PTCR BaTiO3 ceramics', 'Re-dispersible Li+ and Eu3+ Co-doped nanocrystalline ZnO: Luminescence and EPR studies']"
65,NP GURAO,"Materials Science and Engineering, Indian Institute of Technology Kanpur, India","crystallographic texture, mechanical bahaviour of materials, diffraction, crystal plasticity, in",5632,https://scholar.google.com/citations?hl=en&user=UDlLqHoAAAAJ,43,101,"['Crystallographic texture in materials', 'Deformation behaviour of commercially pure titanium at extreme strain rates', 'Powder metallurgical processing of equiatomic AlCoCrFeNi high entropy alloy: Microstructure and mechanical properties', 'Effect of strain path change on the evolution of texture and microstructure during rolling of copper and nickel', 'Deciphering micro-mechanisms of plastic deformation in a novel single phase fcc-based MnFeCoNiCu high entropy alloy using crystallographic texture', 'The effect of Al addition on solid solution strengthening in CoCrFeMnNi: Experiment and modelling', 'In-situ study of crack initiation and propagation in a dual phase AlCoCrFeNi high entropy alloy', 'Role of impinging powder particles on melt pool hydrodynamics, thermal behaviour and microstructure in laser-assisted DED process: a particle-scale DEM–CFD–CA approach', 'Effect of rolling mode and annealing temperature on microstructure and texture of commercially pure-titanium', 'High strain rate compression behaviour of single phase CoCuFeMnNi high entropy alloy']"
66,NP Gurao,"Materials Science and Engineering, Indian Institute of Technology  Kanpur","crystallographic texture, mechanical behaviour of materials, materials processing, synchrotron and",5621,https://scholar.google.com/citations?hl=en&user=yo6MHBcAAAAJ,43,100,"['Crystallographic texture in materials', 'Deformation behaviour of commercially pure titanium at extreme strain rates', 'Powder metallurgical processing of equiatomic AlCoCrFeNi high entropy alloy: Microstructure and mechanical properties', 'Effect of strain path change on the evolution of texture and microstructure during rolling of copper and nickel', 'Deciphering micro-mechanisms of plastic deformation in a novel single phase fcc-based MnFeCoNiCu high entropy alloy using crystallographic texture', 'The effect of Al addition on solid solution strengthening in CoCrFeMnNi: Experiment and modelling', 'In-situ study of crack initiation and propagation in a dual phase AlCoCrFeNi high entropy alloy', 'Role of impinging powder particles on melt pool hydrodynamics, thermal behaviour and microstructure in laser-assisted DED process: a particle-scale DEM–CFD–CA approach', 'Effect of rolling mode and annealing temperature on microstructure and texture of commercially pure-titanium', 'High strain rate compression behaviour of single phase CoCuFeMnNi high entropy alloy']"
67,Prabha Sharma,"Professor of Mathematics and Statistics, IIT Kanpur","Algorithm Designing, Machine Learning, Deep Learniing, Optimization",5608,https://scholar.google.com/citations?hl=en&user=p0zmShAAAAAJ,33,112,"['Zero prevalence of diabetes in camel milk consuming Raica community of north-west Rajasthan, India', 'Noninvasive routes of proteins and peptides drug delivery', 'A study for development of emission factors for trace gases and carbonaceous particulate species from in situ burning of wheat straw in agricultural fields in India', 'ParDOCK: an all atom energy based Monte Carlo docking protocol for protein-ligand complexes', 'Chemical analysis of drinking water of villages of Sanganer Tehsil, Jaipur District', 'Antibiotic adjuvants: synergistic tool to combat multi-drug resistant pathogens', 'Phytochemical analysis and evaluation of antioxidant activities of hydro-ethanolic extract of Moringa oleifera Lam. pods', 'Methane and nitrous oxide emission from bovine manure management practices in India', 'Active Himalayan frontal fault, main boundary thrust and Ramgarh Thrust in southern Kumaun', 'Agronomy of sugarbeet cultivation-a review.']"
68,Sounak Choudhury,"Professor of Mechanical Engineering, Indian Institute of Technology Kanpur","Conventional and Unconventional Machining, Machine Tools Vibration and Control, Hydraulic Control, Manufacturing Automation",5605,https://scholar.google.com/citations?hl=en&user=-FhQMRMAAAAJ,38,68,"['State of the art in hard turning', 'Machining of hardened steel—experimental investigations, performance modeling and cooling techniques: a review', 'Investigation of tool wear and cutting force in cryogenic machining using design of experiments', 'Role of temperature and surface finish in predicting tool wear using neural network and design of experiments', 'Experimental investigation and empirical modeling of the dry electric discharge machining process', 'On the machining of alumina and glass', 'Effect of work material hardness and cutting parameters on performance of coated carbide tool when turning hardened steel: An optimization approach', 'Effect of cutting parameters on cutting force and surface roughness during finish hard turning AISI52100 grade steel', 'Investigations on machinability aspects of hardened AISI 4340 steel at different levels of hardness using coated carbide tools', 'Hard turning using HiPIMS-coated carbide tools: Wear behavior under dry and minimum quantity lubrication (MQL)']"
69,Anand Singh,"Department of Chemistry, IIT Kanpur",,5596,https://scholar.google.com/citations?hl=en&user=XzwsMREAAAAJ,31,115,"['High-resolution mapping, cloning and molecular characterization of the Pi-kh gene of rice, which confers resistance to Magnaporthe grisea', 'Antibacterial and antiviral functional materials: chemistry and biological activity toward tackling COVID-19-like pandemics', 'A Diastereo- and Enantioselective Synthesis of α-Substituted syn-α,β-Diamino Acids', 'Chiral proton catalysis: enantioselective Brønsted acid catalyzed additions of nitroacetic acid derivatives as glycine equivalents', 'Advanced spectroscopic techniques for characterizing defects in perovskite solar cells', 'Oxidative Annulations Involving DMSO and Formamide: K2S2O8 Mediated Syntheses of Quinolines and Pyrimidines', 'Spectrum of opportunistic infections in AIDS cases.', 'The effect of dimensionality on the charge carrier mobility of halide perovskites', 'Mindfulness-based treatment of aggression in individuals with mild intellectual disabilities: A waiting list control study', 'Progress in tailoring perovskite based solar cells through compositional engineering: Materials properties, photovoltaic performance and critical issues']"
70,Dr. Sudheer Kumar,NCFlexE IIT Kanpur,"Flexible Electronics, Flexible Solar, Displays, Printable Batteries, Dimond like carbon films",5434,https://scholar.google.com/citations?hl=en&user=cIOGVQcAAAAJ,28,141,"['Free radicals and antioxidants: human and food system.', 'Developmental toxicity of cadmium in infants and children: a review', 'Recycling of carbon fiber with epoxy composites by chemical recycling for future perspective: a review', 'A review of the chemistry and biological activity of Pongamia pinnata', 'Anticorrosive and electromagnetic shielding response of a graphene/TiO2–epoxy nanocomposite with enhanced mechanical properties', 'Integrated management of Jatropha root rot caused by Rhizoctonia bataticola', 'Role of strain-induced anisotropy on magnetic enhancement in mechanically alloyed  nanoparticle', 'Sources of preventable errors related to transfusion', 'Iridoid glycosides from Lonicera quinquelocularis', 'Taxanes from in vitro cultures of the Himalayan yew Taxus wallichiana']"
71,Somnath Bhowmick,"Inian Institute of Technology, Kanpur","Materials Science, Condensed matter physics",5409,https://scholar.google.com/citations?hl=en&user=FHwqOJUAAAAJ,28,57,"['Symmetry-dependent phonon renormalization in monolayer MoS transistor', 'Polymorphism of two-dimensional boron', 'BN white graphene with “colorful” edges: The energies and morphology', 'Electric field induced gap modification in ultrathin blue phosphorus', 'Effect of strain on the thermal conductivity of solids', 'Quantum dots and nanoroads of graphene embedded in hexagonal boron nitride', 'Resonance energy transfer from a fluorescent dye to a metal nanoparticle', 'Doping Strategies for Monolayer MoS2 via Surface Adsorption: A Systematic Study', 'Edge state magnetism of single layer graphene nanostructures', 'Thickness and electric-field-dependent polarizability and dielectric constant in phosphorene']"
72,Padma S Vankar,"Indian Institute of Technology, Kanpur","Natural dyes, Environmental pollution, Structure elucidation of Natural products",5368,https://scholar.google.com/citations?hl=en&user=uOT1uJwAAAAJ,40,83,"['Chemistry of natural dyes', 'Biosynthesis of silver nanoparticles using lemon leaves extract and its application for antimicrobial finish on fabric', 'Enzymatic natural dyeing of cotton and silk fabrics without metal mordants', 'Ecofriendly sonicator dyeing of cotton with Rubia cordifolia Linn. using biomordant', 'Essential oils and fragrances from natural sources', 'Preparation of gold nanoparticles from Mirabilis jalapa flowers', 'Handbook on natural dyes for industrial applications', 'Ultrasonic dyeing of cotton fabric with aqueous extract of Eclipta alba', 'Natural dyeing with anthocyanins from Hibiscus rosa sinensis flowers', 'Ecofriendly ultrasonic natural dyeing of cotton fabric with enzyme pretreatments']"
73,Sri Sivakumar,Indian Institute of Technology Kanpur,"Nanomaterials, drug delivery, bioimaging, photoelectrochemical water splitting, catalysis",5361,https://scholar.google.com/citations?hl=en&user=W0-t6HUAAAAJ,35,98,"['Bright White Light through Up-Conversion of a Single NIR Source from Sol−Gel-Derived Thin Film Made with Ln3+-Doped LaF3 Nanoparticles', 'Silica‐Coated Ln3+‐Doped LaF3 Nanoparticles as Robust Down‐ and Upconverting Biolabels', 'Liquid crystal emulsions as the basis of biological sensors for the optical detection of bacteria and viruses', 'Near-Infrared (NIR) to Red and Green Up-Conversion Emission from Silica Sol−Gel Thin Films Made with La0.45Yb0.50Er0.05F3 Nanoparticles, Hetero-Looping\xa0…', 'Degradable, surfactant‐free, monodisperse polymer‐encapsulated emulsions as anticancer drug carriers', 'Size‐dependent ordering of liquid crystals observed in polymeric capsules with micrometer and smaller diameters', 'General and convenient method for making highly luminescent sol− gel derived silica and alumina films by using LaF3 nanoparticles doped with lanthanide ions (Er3+, Nd3+, and Ho3+)', 'Purine-stabilized green fluorescent gold nanoclusters for cell nuclei imaging applications', 'Structurally stable hollow mesoporous graphitized carbon nanofibers embedded with NiMoO4 nanoparticles for high performance asymmetric supercapacitors', 'Dual-sensitized luminescent europium (III) and terbium (III) complexes as bioimaging and light-responsive therapeutic agents']"
74,Vinod Tare,"Professor of Civil Engineering, IIT Kanpur","Physicochemical, Biological and Ecological processes, Water and wastewater treatment",5342,https://scholar.google.com/citations?hl=en&user=lch6W_4AAAAJ,39,69,"['Variability of aerosol parameters over Kanpur, northern India', 'Aerosol black carbon radiative forcing at an industrial city in northern India', 'Extent of oxidation of Cr (III) to Cr (VI) under various conditions pertaining to natural environment', 'Oxidation of Cr (III) in tannery sludge to Cr (VI): field observations and theoretical assessment', 'Vermicomposting of source-separated human faeces for nutrient recycling', 'Vermistabilization of primary sewage sludge', 'Four-year measurements of trace gases (SO2, NOx, CO, and O3) at an urban location, Kanpur, in Northern India', 'Secondary organic aerosol: a comparison between foggy and nonfoggy days', 'Transformation and availability of nutrients and heavy metals during integrated composting–vermicomposting of sewage sludges', 'Optimizing vermistabilization of waste activated sludge using vermicompost as bulking material']"
75,Ashu Jain,"Former-Professor, Department of Civil Engineering, IIT Kanpur","Hydrology, Modeling & Management of Water Systems …",5332,https://scholar.google.com/citations?hl=en&user=ylLVp8QAAAAJ,21,35,"['Methods used for the development of neural networks for the prediction of water resource variables in river systems: Current status and future directions', 'Hybrid neural network models for hydrologic time series forecasting', 'Short-term water demand forecast modelling at IIT Kanpur using artificial neural networks', 'A comparative analysis of training methods for artificial neural network rainfall–runoff models', 'Comparison of static-feedforward and dynamic-feedback neural networks for rainfall–runoff modeling', 'Development of effective and efficient rainfall‐runoff models using integration of deterministic, real‐coded genetic algorithms and artificial neural network techniques', 'Identification of physical processes inherent in artificial neural network rainfall runoff models', 'Short‐term water demand forecast modeling techniques—CONVENTIONAL METHODS VERSUS AI', 'Comparative analysis of event-based rainfall-runoff modeling techniques—deterministic, statistical, and artificial neural networks', 'Identification of unknown groundwater pollution sources using artificial neural networks']"
76,Ruchi Singh,"Indian Institute of Technology, Kanpur","Supramolecular chemistry, Coordination Polymers, X-ray crystallography",5089,https://scholar.google.com/citations?hl=en&user=tkEawzQAAAAJ,30,146,"['High-temperature photocurrent mechanism of β-Ga2O3 based metal-semiconductor-metal solar-blind photodetectors', 'Coordination polymers built with a linear bis-imidazole and different dicarboxylates: Unusual entanglement and emission properties', 'Identification of the best multi-model combination for simulating river discharge', 'Emulgel: A recent approach for topical drug delivery system', 'Impact of anthropogenic emissions and open biomass burning on carbonaceous aerosols in urban and rural environments of Indo-Gangetic Plain', 'Coordination polymers of copper and zinc ions with a linear linker having imidazole at each end and an azo moiety in the middle: pedal motion, gas adsorption, and emission studies', 'Effects of both diffuse and collimated incident radiation on phototactic bioconvection', 'Phytosome: recent advance research for novel drug delivery system', 'Cavernous sinus syndrome: a prospective study of 73 cases at a tertiary care centre in Northern India', 'Effect of potassium level and foliar application of nutrient on growth and yield of late sown chickpea (Cicer arietinum L.)']"
77,BV .Rathish Kumar,Indian Institute of Technology Kanpur,"Numerical Methods for PDEs, CFD, Biomechnics, heat and mass transfer",5080,https://scholar.google.com/citations?hl=en&user=KtZfBNcAAAAJ,32,131,"['Peristaltic motion of micropolar fluid in circular cylindrical tubes: Effect of wall properties', 'A review on UREX processes for nuclear spent fuel reprocessing', 'Effects of addition of electrolyte and ascorbic acid in feed during heat stress in buffaloes', 'A study of free convection induced by a vertical wavy surface with heat flux in a porous enclosure', 'Natural convection heat transfer from a horizontal wavy surface in a porous enclosure', 'Analytical and numerical solutions of a coupled non-linear system arising in a three-dimensional rotating flow', 'A review on biological activities of hydrazone derivatives', 'Free convection in a non-Darcian wavy porous enclosure', 'A numerical study of peristaltic flows', 'Natural convection in a thermally stratified wavy vertical porous enclosure']"
78,Roop Aparajita Subhra Purushottam,IIT Kanpur,Machine Learning,5030,https://scholar.google.com/citations?hl=en&user=MNXz0AoAAAAJ,29,40,"['Non-convex optimization for machine learning', 'Large-scale multi-label learning with missing labels', 'Sparse local embeddings for extreme multi-label classification', 'Random feature maps for dot product kernels', 'On iterative hard thresholding methods for high-dimensional m-estimation', 'Robust regression via hard thresholding', 'On context-dependent clustering of bandits', 'The extreme classification repository: Multi-label datasets and code', 'Compilation error repair: for the student programs, from the student programs', 'Consistent robust regression']"
79,Shobit Omar,Indian Institute of Technology Kanpur,"Ceramics, Ionic Conductors, SOFCs",5024,https://scholar.google.com/citations?hl=en&user=ZTb7HLYAAAAJ,31,59,"['Progress in material selection for solid oxide fuel cell technology: A review', 'Higher conductivity Sm3+ and Nd3+ co-doped ceria-based electrolyte materials', 'Crystal structure–ionic conductivity relationships in doped ceria systems', 'Recent progress and prospects of NASICON framework electrodes for Na-ion batteries', 'A co-doping approach towards enhanced ionic conductivity in fluorite-based electrolytes', 'Higher ionic conductive ceria-based electrolytes for solid oxide fuel cells', 'Electrical Conductivity of 10\xa0mol% Sc2O3–1\xa0mol% M2O3–ZrO2 Ceramics', 'Designing High Ionic Conducting NASICON-type Na3Zr2Si2PO12 Solid-Electrolytes for Na-Ion Batteries', 'Improving the Electrochemical Performance of Na3V2(PO4)3 Cathode in Na-Ion Batteries by Si-Doping', 'Scandia stabilized zirconia-ceria solid electrolyte (xSc1CeSZ, 5< x< 11) for IT-SOFCs: Structure and conductivity studies']"
80,Raghvendra Kumar Chaudhary,"Associate Professor, IIT Kanpur","Metamaterials, Antennas, Absorbers, FSS, Dielectric Resonator Antenna",4946,https://scholar.google.com/citations?hl=en&user=MhZTqLsAAAAJ,38,134,"['Isolation Enhancement and Radar Cross Section Reduction of MIMO Antenna With Frequency Selective Surface', 'An investigation on compact ultra-thin triple band polarization independent metamaterial absorber for microwave frequency applications', 'Four-Port MIMO Cognitive Radio System for Mid-Band 5G Applications', 'A Wideband Circularly Polarized Cubic Dielectric Resonator Antenna Excited with Modified Microstrip Feed', 'Design and analysis of polarization independent conformal wideband metamaterial absorber using resistor loaded sector shaped resonators', 'Wideband Ring Dielectric Resonator Antenna with Annular-Shaped Microstrip Feed', 'A Compact Zeroth-order Resonating Wideband Antenna with Dual-band Characteristics', 'Mu-negative metamaterial filter-based isolation technique for MIMO antennas', 'Integration of MIMO and Cognitive Radio for Sub-6 GHz 5G Applications', 'Epsilon Negative CPW-fed Zeroth Order Resonating Antenna with Backed Ground Plane for Extended Bandwidth and Miniaturization']"
81,Mahendra Verma,Indian Institute of Technology Kanpur,"Turbulence, Turbulent Convection, Fluid Dynamics, MHD Turbulence, Nonlinear Dynamics",4927,https://scholar.google.com/citations?hl=en&user=JlH3fYMAAAAJ,37,107,"['Statistical theory of magnetohydrodynamic turbulence: recent results', 'Physics Of Buoyant Flows: From Instabilities To Turbulence', 'Characterization of the Second Wave of COVID-19 in India', 'Energy transfer in two-dimensional magnetohydrodynamic turbulence: formalism and numerical results', 'Energy transfers in fluid flows', 'Flow reversals in turbulent convection via vortex reconnections', 'Dynamics and symmetries of flow reversals in turbulent convection', 'Turbulent heating and temperature evolution in the solar wind plasma', 'Phenomenology of buoyancy-driven turbulence: recent results', 'Benchmarking and scaling studies of pseudospectral code Tarang for turbulence simulations']"
82,mohan kadalbajoo,"department of mathematics ,IIT Kanpur",Numerical Analysis,4904,https://scholar.google.com/citations?hl=en&user=8xF0V5AAAAAJ,39,94,"['A brief survey on numerical methods for solving singularly perturbed problems', 'A survey of numerical techniques for solving singularly perturbed ordinary differential equations', 'A numerical method based on Crank-Nicolson scheme for Burgers’ equation', 'Singularly perturbed problems in partial differential equations: a survey', 'Numerical analysis of singularly perturbed delay differential equations with layer behavior', 'Asymptotic and numerical analysis of singular perturbation problems: a survey', 'A numerical method based on finite difference for boundary value problems for singularly perturbed delay differential equations', 'A cubic B-spline collocation method for a numerical solution of the generalized Black–Scholes equation', 'A parameter-uniform numerical method for time-dependent singularly perturbed differential-difference equations', 'Numerical treatment of a mathematical model arising from a model of neuronal variability']"
83,Manindra Agrawal,"Professor of Computer Science, IIT Kanpur","Theory of Computation, Complexity Theory",4900,https://scholar.google.com/citations?hl=en&user=UBXqggoAAAAJ,27,51,"['PRIMES is in P', 'Arithmetic circuits: A chasm at depth four', 'Primality and identity testing via Chinese remaindering', 'Proving lower bounds via pseudo-random generators', 'Jacobian hits circuits: hitting-sets, lower bounds for depth-d occur-k formulas & depth-3 transcendence degree-k circuits', 'On TC0, AC0, and arithmetic circuits', 'Annals of Mathematics', 'Hitting-sets for ROABP and sum of set-multilinear circuits', 'Approximate verification of the symbolic dynamics of Markov chains', 'Quasi-polynomial hitting-set for set-depth-Δ formulas']"
84,Debabrata Goswami,"Professor, IIT Kanpur","Nonlinear Spectroscopy, Femtosecond Pulse Shaping, Microscopy, Coherent Control, Quantum Computing",4884,https://scholar.google.com/citations?hl=en&user=OZ651FIAAAAJ,33,100,"['Femtosecond laser pulse shaping by use of microsecond radio-frequency pulses', 'Optical pulse shaping approaches to coherent control', 'Adiabatic population transfer with frequency‐swept laser pulses', 'Ultrafast pulse shaping: amplification and characterization', 'Core-modified expanded porphyrins with large third-order nonlinear optical response', 'Zinc (II)-and copper (I)-mediated large two-photon absorption cross sections in a bis-cinnamaldiminato Schiff base', 'Nonlinear absorption in tetrathia[22]porphyrin(2.1.2.1)s: visualizing strong reverse saturable absorption at non-resonant excitation', 'Solvent effect on two-photon absorption and fluorescence of rhodamine dyes', 'Stable optical trapping of latex nanoparticles with ultrashort pulsed illumination', 'Laser-enhanced NMR spectroscopy']"
