,Name,Affiliation,Interests,Cited By,Profile URL,h-index,i10-index,Research Papers
10,Sandeep Verma,"Professor of Chemistry, Indian Institute of Technology Kanpur","Chemistry, Chemical Biology",15854,https://scholar.google.com/citations?hl=en&user=2SodcuwAAAAJ,56,360,"['Modified oligonucleotides: synthesis and strategy for users', 'Investigation for the optimal thermohydraulic performance of artificially roughened solar air heaters', 'The many facets of adenine: coordination, crystal patterns, and catalysis', 'Isotopic characteristics of Indian precipitation', 'Tackling the outer membrane: facilitating compound entry into Gram-negative bacterial pathogens', 'Toward green communication in 6G-enabled massive Internet of Things', 'An intrusion detection mechanism for secured IoMT framework based on swarm-neural network', 'Bioinspired design of nanocages by self‐assembling triskelion peptide elements', 'Intelligent and secure clustering in wireless sensor network (WSN)-based intelligent transportation systems', 'Supramolecular photoactivatable anticancer hydrogels']"
11,Ashok Kumar,"Professor, Dept. Biological Sciences and Bioengineering, Indian Institute of Technology …","Regenerative medicine, Tissue engineering and Biomaterials, Environmental biotechnology, Bioprocess engineering, Bioseparation",15725,https://scholar.google.com/citations?hl=en&user=eFMI9XQAAAAJ,69,224,"['Smart polymers: physical forms and bioengineering applications', 'Exosome laden oxygen releasing antioxidant and antibacterial cryogel wound dressing OxOBand alleviate diabetic and infectious wound healing', 'Skin tissue engineering for tissue repair and regeneration', 'Synthesis and characterization of elastic and macroporous chitosan–gelatin cryogels for tissue engineering', 'Bioactive materials for biomedical applications using sol–gel technology', 'Supermacroprous chitosan–agarose–gelatin cryogels: in vitro characterization and in vivo assessment for cartilage tissue engineering', 'Biomaterials and bioengineering tomorrow’s healthcare', 'Advanced biomaterials: fundamentals, processing, and applications', 'Seed treatment with iron pyrite (FeS2) nanoparticles increases the production of spinach', 'Affinity fractionation of lymphocytes using a monolithic cryogel']"
12,AMALENDU CHANDRA,Indian Institute of Technology Kanpur,,14809,https://scholar.google.com/citations?hl=en&user=rTKmquIAAAAJ,54,278,"['Effects of ion atmosphere on hydrogen-bond dynamics in aqueous electrolyte solutions', 'Aqueous basic solutions: hydroxide solvation, structural diffusion, and comparison to the hydrated proton', 'Municipal solid waste characterization and its assessment for potential methane generation: a case study', 'Molecular dynamics simulations of aqueous NaCl and KCl solutions: Effects of ion concentration on the single-particle, pair, and collective dynamical properties of ions and\xa0…', 'Collective orientational relaxation in dense dipolar liquids', 'Emerging 2D metal oxides and their applications', 'Structure and Dynamics of OH-(aq)', 'Dielectric constant of water confined in a nanocavity', 'Encapsulation of γ-Fe2O3 decorated reduced graphene oxide in polyaniline core–shell tubes as an exceptional tracker for electromagnetic environmental pollution', 'Dynamical behavior of anion− water and water− water hydrogen bonds in aqueous electrolyte solutions: A molecular dynamics study']"
13,Rajiv Sinha,IIT Kanpur,"River science, geomorphology, sedimentology",14127,https://scholar.google.com/citations?hl=en&user=VkRcwwEAAAAJ,67,176,"['Tropical rivers', 'Systems and methods for accelerating delivery of a computing environment to a remote user', 'Braiding and meandering parameters', 'The use of semi-structured interviews for the characterisation of farmer irrigation practices', 'River systems and their sediment flux, Indo‐Gangetic plains, Northern Bihar, India', 'Predominant floodplain over mountain weathering of Himalayan sediments (Ganga basin)', 'Flood risk analysis in the Kosi river basin, north Bihar using multi-parametric approach of analytical hierarchy process (AHP)', 'Discontinuity-bounded alluvial sequences of the southern Gangetic Plains, India: aggradation and degradation in response to monsoonal strength', 'Flood risk assessment in the Kosi megafan using multi-criteria decision analysis: A hydro-geomorphic approach', 'Improved provenance tracing of Asian dust sources using rare earth elements and selected trace elements for palaeomonsoon studies on the eastern Tibetan Plateau']"
14,Raju Kumar Gupta,"Professor, Department of Chemical Engineering, IIT Kanpur","Photocatalysis, Water remediation, Perovskite solar cells, Batteries, CO2 capture and conversion",13730,https://scholar.google.com/citations?hl=en&user=nG-H4P8AAAAJ,54,132,"['Recent progress on ferroelectric polymer-based nanocomposites for high energy density capacitors: synthesis, dielectric properties, and future aspects', 'Oil/water separation techniques: a review of recent progresses and future directions', 'Raw natural fiber–based polymer composites', 'Green synthesis of carbon quantum dots from lemon peel waste: applications in sensing and photocatalysis', 'Graphite modified sodium alginate hydrogel composite for efficient removal of malachite green dye', 'Noble metals-TiO2 nanocomposites: from fundamental mechanisms to photocatalysis, surface enhanced Raman scattering and antibacterial applications', 'Antibacterial and antiviral functional materials: chemistry and biological activity toward tackling COVID-19-like pandemics', 'Synthesis of In2O3–ZnO core–shell nanowires and their application in gas sensing', 'Graft copolymers of natural fibers for green composites', 'Surface modification of cellulose using silane coupling agent']"
15,Sanjay Mittal,"Professor of Aerospace Engineering, IIT Kanpur","CFD, Experimental Aerodynamics",13659,https://scholar.google.com/citations?hl=en&user=BmWnCKsAAAAJ,57,123,"['A new strategy for finite element computations involving moving boundaries and interfaces—the deforming-spatial-domain/space-time procedure: II. Computation of free-surface\xa0…', 'Incompressible flow computations with stabilized bilinear and linear equal-order-interpolation velocity-pressure elements', 'Flow past a rotating cylinder', 'Vortex-induced oscillations at low Reynolds numbers: hysteresis and vortex-shedding modes', 'Vortex-induced vibrations of a circular cylinder at low Reynolds numbers', 'Computation of unsteady incompressible flows with the stabilized finite element methods: Space-time formulations, iterative strategies and massively parallel implementations', 'Unsteady incompressible flows past two cylinders in tandem and staggered arrangements', 'Parallel finite-element computation of 3D flows', 'Flow past a square cylinder at low Reynolds numbers', 'Steady separated flow past a circular cylinder at low Reynolds numbers']"
16,Kantesh Balani,"Professor & Head, Materials Science and Engineering, IIT Kanpur","Thermal Spraying, Functional Biomaterials, Ultra High Temperature Ceramics, Coatings, Nanomechanics",13264,https://scholar.google.com/citations?hl=en&user=i8cuAm4AAAAJ,54,189,"['Progress in material selection for solid oxide fuel cell technology: A review', 'Challenges and advances in nanocomposite processing techniques', 'Plasma-sprayed carbon nanotube reinforced hydroxyapatite coatings and their interaction with human osteoblasts in vitro', 'Physical, thermal, and mechanical properties of polymers', 'Advanced structural ceramics', 'Carbon nanotube reinforced aluminum composite coating via cold spraying', 'Biosurfaces: a materials science and engineering perspective', 'Tribological behavior of plasma-sprayed carbon nanotube-reinforced hydroxyapatite coating in physiological solution', 'Ultra-high temperature ceramics: Aspiration to overcome challenges in thermal protection systems', 'Effect of carrier gases on microstructural and electrochemical behavior of cold-sprayed 1100 aluminum coating']"
17,Santosh Kumar Gupta,"Professor of Chemical Engineering, Indian Institute of Technology Kanpur","Modelling and Optimization, Polymer Reaction Engineering, multiobjective optimization, Chemical Engineering",13067,https://scholar.google.com/citations?hl=en&user=QP1IzB4AAAAJ,51,310,"['Applications of multiobjective optimization in chemical engineering', 'Synthesis and characterization of perovskite barium titanate thin film and its application as LPG sensor', 'Multi-objective optimization of an industrial fluidized-bed catalytic cracking unit (FCCU) using genetic algorithm (GA) with the jumping genes operator', 'Reaction engineering of step growth polymerization', 'Numerical methods for engineers', 'Multiobjective optimization of steam reformer performance using genetic algorithm', 'Multi-objective optimization of reverse osmosis desalination units using different adaptations of the non-dominated sorting genetic algorithm (NSGA)', 'Multi-objective optimization of industrial hydrogen plants', 'Chemical-composition of Pinus-caribaea hemicellulose', 'Multiobjective dynamic optimization of an industrial nylon 6 semibatch reactor using genetic algorithm']"
18,Parimal K. Bharadwaj,"Retired Prof of Chemistry IIT Kanpur & Distinguished Visiting Prof of Chemistry, IIT Bombay …",Supramolecular Chemistry,12909,https://scholar.google.com/citations?hl=en&user=VePyXdMAAAAJ,62,221,"['Metal–organic frameworks for the chemical fixation of CO2 into cyclic carbonates', 'Coexistence of water dimer and hexamer clusters in 3D metal− organic framework structures of Ce (III) and Pr (III) with pyridine-2, 6-dicarboxylic acid', 'Ni (II), Cu (II), and Zn (II) cryptate-enhanced fluorescence of a trianthrylcryptand: a potential molecular photonic OR operator', 'A coumarin-derived fluorescence probe selective for magnesium', 'Supramolecular amphiphiles: spontaneous formation of vesicles triggered by formation of a charge‐transfer complex in a host', 'High Proton Conductivity by a Metal–Organic Framework Incorporating Zn8O Clusters with Aligned Imidazolium Groups Decorating the Channels', 'A dodecameric water cluster built around a cyclic quasiplanar hexameric core in an organic supramolecular complex of a cryptand', 'Puckered-Boat Conformation Hexameric Water Clusters Stabilized in a 2D Metal− Organic Framework Structure Built from Cu (II) and 1, 2, 4, 5-Benzenetetracarboxylic Acid', 'Self-assembly of lanthanide helicate coordination polymers into 3D metal-organic framework structures', 'Transition metal (II)/(III), Eu (III), and Tb (III) ions induced molecular photonic OR gates using trianthryl cryptands of varying cavity dimension']"
19,Satyabrata Das,Former Director CSIR AMPRI /Visiting Professor at Department of  Materials Science IITK …,"Solidification, Metal casting, Metal Matrix Composites, Metal Foams, Tribology",12574,https://scholar.google.com/citations?hl=en&user=1KZUtdAAAAAJ,55,197,"['Solidification, structures, and properties of cast metal-ceramic particle composites', 'A comparative corrosion behavior of Mg, AZ31 and AZ91 alloys in 3.5% NaCl solution', 'Convergent evolution of SARS-CoV-2 spike mutations, L452R, E484Q and P681R, in the second wave of COVID-19 in Maharashtra, India', 'Effect of machining parameters on surface roughness and tool wear for 7075 Al alloy SiC composite', 'Specific Recognition and Sensing of CN− in Sodium Cyanide Solution', 'Effect of matrix alloy and influence of SiC particle on the sliding wear characteristics of aluminium alloy composites', 'Microstructure and wear of cast (Al-Si alloy)-graphite composites', 'High temperature stress effects on pollens of rice (Oryza sativa L.) genotypes', 'Review of recent studies in Al matrix composites', 'Development of aluminium alloy composites for engineering applications']"
