Name,Affiliation,Interests,Cited By,Profile URL
P Shunmugaraj,IIT Kanpur,,500.0,https://scholar.google.com/citations?hl=en&user=CBkdVhoAAAAJ
Shashank K Mehta,"Professor of Computer Scinece, Indian Institute of Technology-Kanpur",Algorithms,498.0,https://scholar.google.com/citations?hl=en&user=77K1J3cAAAAJ
Raghunayakula Thirupathi,IIT Kanpur,"Energy storage, batteries",497.0,https://scholar.google.com/citations?hl=en&user=-ltOg_AAAAAJ
Dr. Ashish Kumar,"Post doctoral Fellow, IIT Kanpur","Organic synthesis, Polymer synthesis (POPs and COFs), Fluorescence Chemosensors, Photo-catalysis",495.0,https://scholar.google.com/citations?hl=en&user=Ir6qVeIAAAAJ
Dr. Jyoti Kuntail,Indian Institute of Technology kanpur,"Molecular Dynamics Simulation, Density Functional Theory, Heterogeneous Catalysis",492.0,https://scholar.google.com/citations?hl=en&user=t6_31WMAAAAJ
Washim Uddin Mondal,"Assistant Professor, IIT Kanpur","Reinforcement Learning, Wireless Communications",491.0,https://scholar.google.com/citations?hl=en&user=CQwhdyIAAAAJ
Dr. Pawan Kumar,Indian Institute of Technology Kanpur,"Polymer Chemistry, Drug Delivery, Gels, Covalent Adaptable Network, Sensing",489.0,https://scholar.google.com/citations?hl=en&user=Ih3f2-cAAAAJ
Swathi Battula,"Assistant Professor, IIT Kanpur","Power System Economics, Transactive Energy Systems, Multi Agent Systems, Smart Grid",488.0,https://scholar.google.com/citations?hl=en&user=ZCbdIqwAAAAJ
Ritika Gautam Singh,Indian Institute of Technology Kanpur,"Medicinal Inorganic Chemistry, Bioinorganic Chemistry, Metals in Medicine",479.0,https://scholar.google.com/citations?hl=en&user=PFKbeNEAAAAJ
Sarani Saha,"Professor of Economics, IIT Kanpur","Applied Microeconomics, Development Economics",479.0,https://scholar.google.com/citations?hl=en&user=Kk7-yfAAAAAJ
Mohit Yadav,Indian Institute of Technology Kanpur,"Machine Learning, Computer Vision, Robotics, Autonomous Vehicles, Electric Vehicles",472.0,https://scholar.google.com/citations?hl=en&user=oEo5hecAAAAJ
Dipin Pillai,"Associate Professor, Indian Institute of Technology Kanpur","Hydrodynamic instability, thin films, electrohydrodynamics",470.0,https://scholar.google.com/citations?hl=en&user=X9ot8jsAAAAJ
Prosenjit Roy,"Indian Institute of Technology, Kanpur.",Mathematics,459.0,https://scholar.google.com/citations?hl=en&user=mZKIdS0AAAAJ
Dipayan Mukherjee,"Assistant Professor of Mechanical Engineering, IIT Kanpur","Multiphysics modeling, Finite elements, Fracture mechanics, Soft robot simulations",459.0,https://scholar.google.com/citations?hl=en&user=cePJw2cAAAAJ
harsh sheokand,IIT Kanpur,"Electromagnetics, Analog Electronics",455.0,https://scholar.google.com/citations?hl=en&user=KOAOlSUAAAAJ
Shivendra Kumar Jaiswal,IIT Kanpur,,454.0,https://scholar.google.com/citations?hl=en&user=3Z-aBSkAAAAJ
Rashmi Avinash Agarwal,"Department of Chemistry, Indian Institute of Technology Kanpur","Coordination Chemistry, Structure Determination, Coordination Polymers, Transition Metals, Supramolecular",453.0,https://scholar.google.com/citations?hl=en&user=Rfze_wwAAAAJ
Dr. vikas dwivedi,"Post-Doctoral Fellow, IIT Kanpur",CH Activation,453.0,https://scholar.google.com/citations?hl=en&user=6VUXT-MAAAAJ
Pradeep Kumar Krishnamurthy,"Professor, Department of Electrical Engineering, Indian Institute of Technology Kanpur","Quantum Key Distribution, Nonlinear fiber optics, Fiber-optic communications, Fiber frequency combs",451.0,https://scholar.google.com/citations?hl=en&user=4qKx3OkAAAAJ
Utsab Kundu,Indian Institute of Technology (IIT) Kanpur,"Power electronics, Resonant mode power conversion, Power management ICs, Soft-switching mechanisms",451.0,https://scholar.google.com/citations?hl=en&user=COGW1DgAAAAJ
Sapam Ranjita Chanu,"IIT KANPUR, India",Quantum optics and precision measurement,450.0,https://scholar.google.com/citations?hl=en&user=o0mpSHsAAAAJ
C. Chandraprakash,Indian Institute of Technology Kanpur,"Multifunctional materials, Acoustics, Thermomechanics, Instrumentation",443.0,https://scholar.google.com/citations?hl=en&user=3DE7MTcAAAAJ
Devpriya kumar,"Associate Professor, Department of Cognitive Science, IIT Kanpur","Sense of Agency, prediction, control, attention, perception action",442.0,https://scholar.google.com/citations?hl=en&user=N3oMaZoAAAAJ
Alakesh Chandra Mandal,Indian Institute of Technology Kanpur,"Instability in fluid flows, boundary layer transition, fluid turbulence, experimental aerodynamics",441.0,https://scholar.google.com/citations?hl=en&user=FaFWqlUAAAAJ
Mahamitra Das,Assistant Professor at IIT Kanpur,Applied Time Series Econometrics,437.0,https://scholar.google.com/citations?hl=en&user=s-xKdAgAAAAJ
Saim Wani,IIT Kanpur,"Reinforcement Learning, Computer Vision, Robotics",437.0,https://scholar.google.com/citations?hl=en&user=eiqwCYUAAAAJ
Bhagyaraj J,IIT Kanpur,"shape memory alloys, TEM, NiTi, Microscopy",436.0,https://scholar.google.com/citations?hl=en&user=Xdwql4wAAAAJ
Anup Kumar Patel,"Indian Institute of Technology Kanpur India & Beckman Research Institute of Coh, CA …","Biomaterials, Tissue Engineering, Polymer Composites, Drug Delivery, Nanotechnology",433.0,https://scholar.google.com/citations?hl=en&user=4UtgzxwAAAAJ
Kashfull Orra,"Indian Institute of Technology Kanpur, India","Manufacturing Science, Adaptive Control System, Dynamics and Vibration Analysis",433.0,https://scholar.google.com/citations?hl=en&user=A7X7PXQAAAAJ
Himanshu Yadav,"Assistant Professor, Indian Institute of Technology Kanpur","Language processing in humans, Language evolution, Cognitive modeling, Individual differences",431.0,https://scholar.google.com/citations?hl=en&user=oQ1uAAsAAAAJ
Amodini Mishra,Indian Institute of Technology Kanpur (IITK) India,"Two dimensional Materials, Optical properties, Swift heavy ion",431.0,https://scholar.google.com/citations?hl=en&user=yzyAKrAAAAAJ
Dr. Raghupathy Yuvaraj,"Assistant Professor, Department of Materials Science and Engineering, IIT Kanpur","Thermodynamics, Corrosion, Extractive Metallurgy, Applied Nanomaterials & Coatings, Material-Microbe Interactions",428.0,https://scholar.google.com/citations?hl=en&user=M8aL3sUAAAAJ
Avinash Lahgere,Assistant Professor IIT Kanpur,"Semiconductor Devices, Compact Modeling, Emerging Volatile-Nonvolatile Memory, Variation, PPA Benchmarking",426.0,https://scholar.google.com/citations?hl=en&user=PYGGIK4AAAAJ
Dr Asit Prakash Bajpai,IIT Kanpur UP India,"Li Ion Battery, Flexible Battery, Organic Devices, OLED, Perovskite Solar Cell",424.0,https://scholar.google.com/citations?hl=en&user=ZCl4aEMAAAAJ
Sai Chaitanya Chiliveri,Indian Institute of Technology Kanpur,Structural Biology,421.0,https://scholar.google.com/citations?hl=en&user=gNTaxsAAAAAJ
Dr. Tushar  Balasaheb Deshmukh,IIT Kanpur,"Na-ion Battery, Solid state Battery, Supercapacitor, Hydrogen Fuel Cell",420.0,https://scholar.google.com/citations?hl=en&user=7mP1OA4AAAAJ
Esha Chatterjee,Assistant Professor Indian Institute of Technology Kanpur,"Demography, India, Development",418.0,https://scholar.google.com/citations?hl=en&user=o64WLKAAAAAJ
soumendu ghosh,"Post Doctoral Fellow, IIT Kanpur","Metasurfaces, RCS Reduction, Antenna Engineering",417.0,https://scholar.google.com/citations?hl=en&user=bx-8EfMAAAAJ
Aditi Pandey,IIT Kanpur,Biomaterials,417.0,https://scholar.google.com/citations?hl=en&user=bfZQyyMAAAAJ
Mohan Anand P,IIT Kanpur,"Malware Analysis, Ransomware Detection, Cyber Security, System Security, Ransomware",412.0,https://scholar.google.com/citations?hl=en&user=3YZVhkkAAAAJ
Jitendra Kumar Dash,"Dept. of Earth Sciences, IIT-Kanpur","Geochemistry, Geochronology",411.0,https://scholar.google.com/citations?hl=en&user=ssYiHa8AAAAJ
Salil Goel,"Associate Professor, Indian Institute of Technology Kanpur","LiDAR, Mobile Mapping Systems, Kalman filter, Cooperative Localization, Unmmaned Aerial Vehicles",408.0,https://scholar.google.com/citations?hl=en&user=a3gmiy0AAAAJ
Rohit Sharma,"Space Planetary and Astronomy Science & Engineering, Indian Institute of Technology …","Solar Physics, Radio Astrophysics, Heliophysics",408.0,https://scholar.google.com/citations?hl=en&user=oSC7dS0AAAAJ
Ashwin Kumar RS,"Assistant Professor, IIT Kanpur","Analog and mixed-signal circuit design, Signal processing",407.0,https://scholar.google.com/citations?hl=en&user=WqxoI4MAAAAJ
Raghunath Tewari,"Associate Professor, Indian Institute of Technology, Kanpur",Computational Complexity Theory,406.0,https://scholar.google.com/citations?hl=en&user=Ks3QdEUAAAAJ
Aditi Sharma,"Dual degree (MS-BS) graduate, Department of Mathematics and Scientific Computing, IIT …","Machine Learning, Statistics",406.0,https://scholar.google.com/citations?hl=en&user=m1quN-wAAAAJ
Santoshi Nayak,IIT Kanpur,Molecular Parasitology,405.0,https://scholar.google.com/citations?hl=en&user=DzHh4t0AAAAJ
Subhra Sankar Dhar,"Professor, Indian Institute of Technology, Kanpur",Non-parametric Statistical Methods,402.0,https://scholar.google.com/citations?hl=en&user=GohGxswAAAAJ
Manish Kumar Yadav,Postdoctoral fellow @IIT kanpur,GPCR,401.0,https://scholar.google.com/citations?hl=en&user=Gps-OtsAAAAJ
Anando Gopal Chatterjee,"REO, Computer Centre, IIT Kanpur","High performance computing, Fluid Turbulence, Reyleight Benard Convection, Magnetohydrodynamics",399.0,https://scholar.google.com/citations?hl=en&user=ksjcH1kAAAAJ
Dr. Piyush Kant,Asst. Prof. at Indian Institute of Technology Kanpur,"High Power Converters, Electrical Machines and Drives",397.0,https://scholar.google.com/citations?hl=en&user=iqnRqbQAAAAJ
Raghavendra Ragipani,"Assistant Professor, Indian Institute of Technology Kanpur","CO2 mineralization, Carbon Capture and Utilization, reaction kinetics, mathematical modelling, process simulation",391.0,https://scholar.google.com/citations?hl=en&user=sBNBIwkAAAAJ
Dr. MITALI SISODIA,"Technology Manager, National Quantum Mission at IIT Kanpur","Quantum Communication, Quantum Information, Quantum Optics, free-space QKD, Atmospheric Turbulance",391.0,https://scholar.google.com/citations?hl=en&user=Lcpnv0cAAAAJ
Mainak Sadhukhan,"Department of Chemistry, IIT-Kanpur",Theoretical Chemistry,390.0,https://scholar.google.com/citations?hl=en&user=je99Y5oAAAAJ
Siddhartha Mukherjee,"Dept. Mechanical Engineering, Indian Institute of Technology, Kanpur","Active Matter, Non-linear dynamics, Turbulence, Multiphase Flows",390.0,https://scholar.google.com/citations?hl=en&user=LhJRdqoAAAAJ
Ishwar-Kumar C.,"Department of Earth sciences, Indian Institute of Technology Kanpur","Tectonics, Crustal evolution, Petrology, Paleogeography, Remote Sensing and GIS",385.0,https://scholar.google.com/citations?hl=en&user=qJkbua8AAAAJ
ANKUR MALIK,Indian Institute of Technology Kanpur,"Nanomaterials, MOFs, Photocatalysis, Molecular electronics",384.0,https://scholar.google.com/citations?hl=en&user=2O44o3MAAAAJ
Sandeep Kumar Kataria,"SPASE, IIT Kanpur","Planetary & Galaxy Dynamics, Bars & Spirals, N-body/Magneto-hydrodynamical, Cosmological Simulations",382.0,https://scholar.google.com/citations?hl=en&user=xTK6FrwAAAAJ
Arnab Hazra,"Assistant Professor, Indian Institute of Technology Kanpur","Spatial statistics, Extreme value theory, Environmental statistics, Bayesian statistics",379.0,https://scholar.google.com/citations?hl=en&user=hRtu8lkAAAAJ
Ashish Kumar Singh,Indian Institute of Technology Kanpur,"Ergonomics, Risk Assessment, Safety",369.0,https://scholar.google.com/citations?hl=en&user=n7Es_ukAAAAJ
Rahul Sarkar,"Department of MSE, IIT Kanpur","Ironmaking and Steelmaking, Continuous Casting of Steel, Refractories, Chemical Kinetics and Mass Transfer, Diffusion in Solids",368.0,https://scholar.google.com/citations?hl=en&user=iGxDKo4AAAAJ
tejas kusurkar,Indian Institute of Technology Kanpur,"Clean Energy, Biomass, Materials",366.0,https://scholar.google.com/citations?hl=en&user=jyMKWboAAAAJ
Anshu Yadav,IIT Kanpur,Theoretical Cryptography,365.0,https://scholar.google.com/citations?hl=en&user=4THUzTQAAAAJ
