Name,Affiliation,Interests,Cited By,Profile URL,h-index,i10-index,Research Papers
Sandip Murarka,Associate Professor of Chemistry at IIT Jodhpur,"Organic Synthesis, Catalysis, Medicinal Chemistry",3983,https://scholar.google.com/citations?hl=en&user=qGp_yVoAAAAJ,33,51,"['N‐(Acyloxy)phthalimides as Redox‐Active Esters in Cross‐Coupling Reactions', 'Single Electron Transfer-Induced Redox Processes Involving N-(Acyloxy)phthalimides', 'Catalytic enantioselective intramolecular redox reactions: Ring-fused tetrahydroquinolines', 'Lewis acid catalyzed formation of tetrahydroquinolines via an intramolecular redox process', 'Facile formation of cyclic aminals through a Brønsted acid-promoted redox process', 'Identification of pyrazolopyridazinones as PDEδ inhibitors', 'Phenyl hydrazine as initiator for direct arene CH arylation via base promoted homolytic aromatic substitution', 'Covalent protein labeling at glutamic acids', 'A PDE6δ‐KRas inhibitor chemotype with up to seven H‐bonds and picomolar affinity that prevents efficient inhibitor release by Arl2', 'Late stage functionalization of heterocycles using hypervalent iodine(iii) reagents']"
Appala Naidu Gandi,Indian Institute of Technology Jodhpur,Computational Materials Science and …,3943,https://scholar.google.com/citations?hl=en&user=1wv6BE8AAAAJ,20,28,"['Plasma-assisted synthesis of NiCoP for efficient overall water splitting', 'Amorphous NiFe-OH/NiFeP electrocatalyst fabricated at low temperature for water oxidation applications', 'Low temperature synthesis of ternary metal phosphides using plasma for asymmetric supercapacitors', 'Is NiCo2S4 Really a Semiconductor?', 'Thermoelectric Performance of the MXenes M2CO2 (M = Ti, Zr, or Hf)', 'Thermal Conductivity of Bulk and Monolayer MoS2', 'WS2 As an Excellent High-Temperature Thermoelectric Material', 'AgxZny protective coatings with selective Zn2+/H+ binding enable reversible Zn anodes', 'Design Principle of Insulating Surface Protective Layers for Metallic Zn Anodes: A Case Study of ZrO2', 'Simultaneous Dangling Bond and Zincophilic Site Engineering of SiNx Protective Coatings toward Stable Zinc Anodes']"
Shahab Ahmad,"Department of Physics, Indian Institute of Technology Jodhpur","Energy Storage, Functional Nanomaterials, Optoelectronics, Metal-Halide Perovskites",3932,https://scholar.google.com/citations?hl=en&user=c959JfwAAAAJ,27,41,"['Blue-green color tunable solution processable organolead chloride–bromide mixed halide perovskites for optoelectronic applications', 'Reduced graphene oxide (rGO) based wideband optical sensor and the role of Temperature, Defect States and Quantum Efficiency', 'Real-Time Observation of Exciton–Phonon Coupling Dynamics in Self-Assembled Hybrid Perovskite Quantum Wells', 'Photo-Rechargeable Organo-Halide Perovskite Batteries', 'Lanthanide-doped inorganic nanoparticles turn molecular triplet excitons bright', 'Scalable Triple Cation Mixed Halide Perovskite–BiVO4 Tandems for Bias‐Free Water Splitting', 'Lead-free perovskite semiconductors based on germanium–tin solid solutions: structural and optoelectronic properties', 'In situ intercalation dynamics in inorganic–organic layered perovskite thin films', 'Strong Photocurrent from Two-Dimensional Excitons in Solution-Processed Stacked Perovskite Semiconductor Sheets', 'Ruddlesden–Popper 2D perovskites of type (C6H9C2H4NH3)2(CH3NH3)n−1PbnI3n+1 (n\u2009=\u20091–4) for optoelectronic applications']"
Gaurav Bhatnagar,"Indian Institute of Technology Jodhpur, Rajasthan, India (Check my website for the codes)","Fractional Transforms, Integral Transforms, Encryption, Image Inpainting, Image Reconstruction",3864,https://scholar.google.com/citations?hl=en&user=KdwA1rkAAAAJ,29,75,"['Directive contrast based multimodal medical image fusion in NSCT domain', 'A new robust reference watermarking scheme based on DWT-SVD', 'A new contrast based multimodal medical image fusion framework', 'Discrete fractional wavelet transform and its application to multiple encryption', 'Human visual system inspired multi-modal medical image fusion framework', 'A new robust watermarking system in integer DCT domain', 'Selective image encryption based on pixels of interest and singular value decomposition', 'Compression-then-encryption-based secure watermarking technique for smart healthcare system', 'Chaos-based security solution for fingerprint data during communication and transmission', 'Biometrics inspired watermarking based on a fractional dual tree complex wavelet transform']"
Sampat Raj Vadera,"Professor of Physics, Indian Institute of Technology Jodhpur","Solid State Physics, Materials Science, Nano materials, Ferrites, Stealth Materials",3855,https://scholar.google.com/citations?hl=en&user=SztzlHoAAAAJ,34,58,"['Microwave absorbing properties of a thermally reduced graphene oxide/nitrile butadiene rubber composite', 'Synthesis and photoluminescent properties of ZnS nanocrystals doped with copper and halogen', 'In situ synthesis of graphene oxide and its composites with iron oxide', 'Multicolor electroluminescent devices using doped ZnS nanocrystals', 'Study of the dielectric properties of barium titanate–polymer composites', 'Synthesis of stable dispersion of ZnO quantum dots in aqueous medium showing visible emission from bluish green to yellow', 'Studies on conductivity and dielectric properties of polyaniline-zinc sulphide composites', 'Studies of luminescence properties of ZnO and ZnO: Zn nanorods prepared by solution growth technique', 'Synthesis and Microwave Absorption Properties of BiFeO3 Nanowire-RGO Nanocomposite and First-Principles Calculations for Insight of Electromagnetic\xa0…', 'Energy transfer from organic surface adsorbate-polyvinyl pyrrolidone molecules to luminescent centers in ZnS nanocrystals']"
Somesh Sharma,Indian Institute of Technology Jodhpur,,3555,https://scholar.google.com/citations?hl=en&user=C1KpoE8AAAAJ,24,100,"['Epidemiology and pathogenesis of paranasal sinus mycoses', 'Detection of biofilm formation in Staphylococcus aureus. Does it have a role in treatment of MRSA infections?', 'Genetic analysis of production performance of Holstein Friesian× Sahiwal cows', 'Statistical optimization for tannase production from Aspergillus niger under submerged fermentation', 'Synthesis, characterization, EPR, photo and thermoluminescence properties of YAlO3: Ni2+ nanophosphors', 'Survey estimates of fishable biomass following a mass mortality in an Australian molluscan fishery', 'DDT and HCH residues in dairy milk samples collected from different geographical regions of India: a multicentre study', 'Nutrients and antinutrients in chickpea (Cicer arietinum L.) cultivars after soaking and pressure cooking.', 'Snake bite poisoning presenting as early morning neuroparalytic syndrome in jhuggi dwellers.', 'Adaptive navigation systems for an unmanned surface vehicle']"
Satyajit Sahu,"Professor, Department of Physics, Indian Institute of Technology Jodhpur","Physics, Molecular Electronics, Organic electronics, Quantum Dots, Thermoelectric Materials",3552,https://scholar.google.com/citations?hl=en&user=YQSCWSoAAAAJ,30,65,"['Multi-level memory-switching properties of a single brain microtubule', 'Atomic water channel controlling remarkable properties of a single brain microtubule: correlating single protein to its supramolecular assembly', 'Performance evaluation of an all inorganic CsGeI3 based perovskite solar cell by numerical simulation', 'Live visualizations of single isolated tubulin protein self-assembly via tunneling current: effect of electromagnetic pumping during spontaneous growth of microtubule', 'Structure, microstructure and optical absorption analysis of CuO nanoparticles synthesized by sol-gel route', 'Tuning of nonvolatile bipolar memristive switching in Co (III) polymer with an extended azo aromatic ligand', 'Massively parallel computing on an organic molecular layer', 'Spin orbit coupling induced enhancement of thermoelectric performance of HfX2 (X= S, Se) and its Janus monolayer', 'Strain induced valley degeneracy: a route to the enhancement of thermoelectric properties of monolayer WS2', 'Fractal, scale free electromagnetic resonance of a single brain extracted microtubule nanowire, a single tubulin protein and a single neuron']"
Dibyendu K. Sasmal,"Associate Professor, Department of Chemistry, Indian Institute of Technology Jodhpur","Experimental Phy Chem, Fluorescence Spectroscopy, Single molecule Imaging, smFRET, FLIM/FCS",3416,https://scholar.google.com/citations?hl=en&user=l5F3JREAAAAJ,21,26,"['T cell co-stimulatory receptor CD28 is a primary target for PD-1–mediated inhibition', 'Single-molecule fluorescence resonance energy transfer in molecular biology', 'Fabrication of superhydrophobic copper surface on various substrates for roll-off, self-cleaning, and water/oil separation', 'An FCS study of unfolding and refolding of CPM-labeled human serum albumin: role of ionic liquid', 'Deciphering the role of pH in the binding of ciprofloxacin hydrochloride to bovine serum albumin', 'Diffusion of organic dyes in ionic liquid and giant micron sized ionic liquid mixed micelle: fluorescence correlation spectroscopy', 'Ultrafast FRET in a room temperature ionic liquid microemulsion: a femtosecond excitation wavelength dependence study', 'Solvation dynamics of biological water in a single live cell under a confocal microscope', 'Oxovanadium (IV) complexes of phenanthroline bases: the dipyridophenazine complex as a near-IR photocytotoxic agent', 'Single-Molecule Patch-Clamp FRET Microscopy Studies of NMDA Receptor Ion Channel Dynamics in Living Cells: Revealing the Multiple Conformational States Associated with a\xa0…']"
Anand Mishra,IIT Jodhpur,"Vision and Language Models, Video Understanding, Multilinguality in Visual NLP",3397,https://scholar.google.com/citations?hl=en&user=vhUg2zIAAAAJ,16,21,"['Scene Text Recognition using Higher Order Language Priors', 'OCR-VQA: Visual Question Answering by Reading Text in Images', 'Top-down and bottom-up cues for scene text recognition', 'KVQA: Knowledge-aware visual question answering', 'An MRF model for binarization of natural scene text', 'Image retrieval using textual cues', 'Whole is greater than sum of parts: Recognizing scene text words', 'From strings to things: Knowledge-enabled vqa model that can read and reason', 'IIIT-CFW: A benchmark database of cartoon faces in the wild', 'Sketch-guided object localization in natural images']"
Saran Aadhar,Indian Institute of Technology Jodhpur,"Hydrology, Drought and flood monitoring, Climate Change impact, Hydroclimatic Extremes",3339,https://scholar.google.com/citations?hl=en&user=2fmbJF8AAAAJ,24,27,"['Increase in extreme precipitation events under anthropogenic warming in India', 'Moist heat stress extremes in India enhanced by irrigation', 'High-resolution near real-time drought monitoring in South Asia', 'Drought and famine in India, 1870–2016', 'On the frequency of the 2015 monsoon season drought in the Indo‐Gangetic Plain', 'The Kerala flood of 2018: combined impact of extreme rainfall and reservoir storage', 'Propagation of meteorological to hydrological droughts in India', 'Future exacerbation of hot and dry summer monsoon extremes in India', 'On the projected decline in droughts over South Asia in CMIP6 multimodel ensemble', 'Anthropogenic warming and intraseasonal summer monsoon variability amplify the risk of future flash droughts in India']"
