Name,Affiliation,Interests,Cited By,Profile URL
Mukat Lal Sharma,"Department of Earthquake Enigneering, Indian Institute of Technology Roorkee","Strong ground motion, Engineering Seismology, Seismic Hazard assessment, DInSAR, Earthquake Engineering",3998,https://scholar.google.com/citations?hl=en&user=pQ6AYIYAAAAJ
Ramesh Anbanandam,"Professor, IIT Roorkee","Humanitarian Supply Chain Management, Sustainable Multi-modal Transportation, Cyber Physical Systems",3970,https://scholar.google.com/citations?hl=en&user=wj2fd9gAAAAJ
KRISHNAN MURUGESAN,"Professor Department of Mechanical & Industrial Engineering, IIT Roorkee, Roorkee …","Heat and moisture transport through saturated …, Computational fluid dynamics, Thermodynamics, Heat t",3918,https://scholar.google.com/citations?hl=en&user=nxqYrpwAAAAJ
AJANTA GOSWAMI,"Professor, Indian Institute of Technology Roorkee & Indian Institute of Remote Sensing","Geology, Remote Sensing, Glaciology, Crysophere, Geohazards",3868,https://scholar.google.com/citations?hl=en&user=qHBOuaYAAAAJ
Kamal Jain,"Rtd. HAG Professor, Department of Civil Engineering & CoEDMM, IIT Roorkee","Photogrammetry, GIS, Lidar, UAV Remote Sensing, GeoAI",3821,https://scholar.google.com/citations?hl=en&user=cpV83aoAAAAJ
Pooja Garg,"Professor,Department of Humanities and Social Sciences,Indian Institute of Technology","Organizational Behavior, Positive Psychology, Human Resource Management",3788,https://scholar.google.com/citations?hl=en&user=xrOSzGsAAAAJ
Anil Kumar Gupta,"Professor - WRDM, IIT Roorkee, India","DRR and Adaptation Policy Strategies, Environment & Health, Safety Management, Capacity Building",3760,https://scholar.google.com/citations?hl=en&user=hDIVB4AAAAAJ
Pradeep Bhargava,"Indian Institute of Technology, Roorkee","Finite Element Analysis, Nonlinear Computational Mechanics, Structural Fire Engineering",3727,https://scholar.google.com/citations?hl=en&user=wLN6hkAAAAAJ
Sanjeev Kumar Prajapati,"Associate Professor, Department of Hydro and Renewable Energy (HRED), IIT Roorkee","Biogas, Biochemical Eng., Biochar, Environmental Bioprocess, Wastewater",3691,https://scholar.google.com/citations?hl=en&user=Ym0vNL4AAAAJ
ML Kansal,"Professor (HAG) and Ex-NEEPCO Chair & Head, WRD&M, IIT Roorkee","Water Resources Development & …, Urban water Systems, Hydropower",3655,https://scholar.google.com/citations?hl=en&user=dg4NwCEAAAAJ
GD Varma,"Department of Physics, Indian Institute of Technology Roorkee",Condensed Matter Physics,3643,https://scholar.google.com/citations?hl=en&user=dbLO1P8AAAAJ
Prof. RP Singh,"Department of Biotechnology, Indian Institute of Technology Roorkee, India","Enzyme Engineering, Biofuels, Biopolymers, Nanobiotechnology",3621,https://scholar.google.com/citations?hl=en&user=YpTKF24AAAAJ
Akhilesh Mohan,"Dept. of Electronics and Communication Engg., Indian Institute of Technology Roorkee","UWB Antenna, MIMO Antenna, Filters, Metamaterial",3601,https://scholar.google.com/citations?hl=en&user=6QhsxmcAAAAJ
Nikhil Dhawan,Indian Institute of Technology,"Mineral Processing, Extractive Metallurgy, Electronic waste recycling",3594,https://scholar.google.com/citations?hl=en&user=GAUjL0gAAAAJ
Shailly Tomar,IIT Roorkee,"Molecular Virology, Biochemistry, Structural biology",3587,https://scholar.google.com/citations?hl=en&user=IA8mfhwAAAAJ
Muniappan Sankar,"Professor, Department of Chemistry, IIT Roorkee, Roorkee-247667, India",Porphyrin Chemistry,3564,https://scholar.google.com/citations?hl=en&user=lWh_w7YAAAAJ
Ranjana Pathania,"Professor, Department of Biotechnology , Indian Institute of Technology Roorkee, India","small RNA in Acinetobacter baumannii …, pathogenesis and antibiotic resistance, novel antibacterial drug discovery and",3474,https://scholar.google.com/citations?hl=en&user=bnHB5kwAAAAJ
Sandeep Singh,Indian Institute of Technology Roorkee,"Geochronology, Himalayan Tectonics, Igneous Petrology, Sr Isotopes.",3443,https://scholar.google.com/citations?hl=en&user=LxU3I5cAAAAJ
Rathinam Anbalagan,Indian Institute of Technology Roorkee,"Engineering Geology, Rock Mechanics, Landslides, Slope Stability, Underground Structures",3409,https://scholar.google.com/citations?hl=en&user=-oUsqQYAAAAJ
SANDHYA SINGH,"Indian Institute of Technology, Roorkee","Biotechnology, Tissue engineering, Polymer, Paper Technology",3396,https://scholar.google.com/citations?hl=en&user=IeMR_f8AAAAJ
B Venkata Manoj Kumar,"Professor, Metallurgical and Materials Engineering, IIT Roorkee","Ceramics, Tribology, Microstructure",3386,https://scholar.google.com/citations?hl=en&user=5UXTiBEAAAAJ
Prof Ankit Agarwal,Indian Institute of Technology Roorkee,"Hydro-climatology and Extreme Events, Monsoon, Climate Change, Machine Learning and Complex Network",3352,https://scholar.google.com/citations?hl=en&user=1UH7AfkAAAAJ
