,Name,Affiliation,Interests,Cited By,Profile URL,h-index,i10-index,Research Papers
10,Rupesh Devan,"Professor, Department of MEMS, Indian Institute of Technology","MXenes, MOFs, Nanostructures, Energy storage devices, Hydrogen generation",9094,https://scholar.google.com/citations?hl=en&user=UF9U1IkAAAAJ,56,135,"['One‐dimensional metal‐oxide nanostructures: recent developments in synthesis, characterization, and applications', 'The effect of stoichiometry on the structural, thermal and electronic properties of thermally decomposed nickel oxide', 'Effect of composition on coupled electric, magnetic, and dielectric properties of two phase particulate magnetoelectric composite', 'Effect of cobalt substitution on the properties of nickel–copper ferrite', 'Dielectric, Complex Impedance, and Electrical Transport Properties of Erbium (Er3+) Ion-Substituted Nanocrystalline, Cobalt-Rich Ferrite (Co1.1Fe1.9–xErxO4)', 'Dielectric properties of mixed Li–Ni–Cd ferrites', 'Synthesis and characterization of Ru doped CuO thin films for supercapacitor based on Bronsted acidic ionic liquid', 'Efficient electrochromic performance of nanoparticulate WO3 thin films', 'Investigations on silver/polyaniline electrodes for electrochemical supercapacitors', 'Eco-friendly synthesis, crystal chemistry, and magnetic properties of manganese-substituted CoFe2O4 nanoparticles']"
11,Vimal Bhatia,IIT Indore,"Wireless Communications, 6G, Signal Processing, Quantum Communications, Energy",7076,https://scholar.google.com/citations?hl=en&user=axRxFiwAAAAJ,40,190,"['6G white paper on machine learning in wireless communication networks', 'Quantum key distribution secured optical networks: A survey', '6G for bridging the digital divide: Wireless connectivity to remote areas', 'A survey on higher-order QAM constellations: Technical challenges, recent advances, and future trends', 'A 6G white paper on connectivity for remote areas', 'Non-parametric likelihood based channel estimator for Gaussian mixture noise', 'On performance of energy harvested cooperative NOMA under imperfect CSI and imperfect SIC', 'Online content popularity prediction and learning in wireless edge caching', 'Bridging the digital divide: Challenges in opening the digital world to the elderly, poor, and digitally illiterate', 'Precoded Chebyshev-NLMS-based pre-distorter for nonlinear LED compensation in NOMA-VLC']"
12,"Rajesh Kumar (राजेश कुमार), Ph.D. (IIT Delhi)","Professor, Department of Physics, IIT Indore","Raman spectroscopy, Nanoscience, Nanotechnology, Electrochromic Device, Energy Storage",6884,https://scholar.google.com/citations?hl=en&user=BCi-1-YAAAAJ,43,172,"['Multifunctional Electrochromic Devices for Energy Applications', 'Electronic and optical properties of BaTiO3 across tetragonal to cubic phase transition: An experimental and theoretical investigation', 'Spatially resolved Raman spectroelectrochemistry of solid-state polythiophene/viologen memory devices', 'Diffuse reflectance spectroscopy: an effective tool to probe the defect states in wide band gap semiconducting materials', 'Temperature dependent Raman modes of reduced graphene oxide: Effect of anharmonicity, crystallite size and defects', 'TiO2–Co3O4 Core–Shell Nanorods: Bifunctional Role in Better Energy Storage and Electrochromism', 'Current status of some electrochromic materials and devices: a brief review', 'Polythiophene–PCBM-Based All-Organic Electrochromic Device: Fast and Flexible', 'Structural, optical and electronic properties of RFeO3', 'Investigation of temperature-dependent optical properties of TiO2 using diffuse reflectance spectroscopy']"
13,Sandeep Chaudhary,IIT Indore,"Structural Engineering, Concrete Technology, Building Materials, Sustainable Construction Materials",6711,https://scholar.google.com/citations?hl=en&user=yE0bDOIAAAAJ,43,97,"['Assessment of mechanical and durability properties of concrete containing waste rubber tire as fine aggregate', 'Mechanical and durability properties of waste rubber fiber concrete with and without silica fume', 'Impact resistance of concrete containing waste rubber fiber and silica fume', 'Impact resistance and energy absorption capacity of concrete containing plastic waste', 'Thermal resistance of fly ash based rubberized geopolymer concrete', 'Development of rubberized geopolymer concrete: Strength and durability studies', 'Prediction of mechanical properties of rubberised concrete exposed to elevated temperature using ANN', 'Performance of self-compacting concrete comprising granite cutting waste as fine aggregate', 'Effect of elevated temperature and cooling regimes on mechanical and durability properties of concrete containing waste rubber fiber', 'Sustainable utilisation of ceramic waste in concrete: Exposure to adverse conditions']"
14,Murthy GS,"Professor in BSBE, Indian Institute of Technology-Indore and BEE, Oregon State University","Sustainable bioprocessing, bioprocess modeling and control, systems analyses for sustainability",6254,https://scholar.google.com/citations?hl=en&user=RDDboswAAAAJ,38,69,"['Effects of environmental factors and nutrient availability on the biochemical composition of algae for biofuels production: a review', 'Life cycle analysis of algae biodiesel', 'Impact of pretreatment and downstream processing technologies on economics and energy in cellulosic ethanol production', 'Per/polyfluoroalkyl substances production, applications and environmental impacts', 'A review and future directions in techno-economic modeling and optimization of upstream forest biomass to bio-oil supply chains', 'Bioreactor control systems in the biopharmaceutical industry: a critical perspective', 'Agrivoltaics align with green new deal goals while supporting investment in the US’rural economy', 'Optimization of microwave-assisted hot air drying conditions of okra using response surface methodology', 'Nutritional characteristics of corn distillers dried grains with solubles as affected by the amounts of grains versus solubles and different processing techniques', 'Stochastic molecular model of enzymatic hydrolysis of cellulose for ethanol production']"
15,Dr.Palani IA,"Professor, Department of Mechanical Engineering,  Indian Institute of technology Indore","Smart materials and structures, micro-robotic systems, opto-mechatronics system design, Laser assisted manufacturing and surface",6012,https://scholar.google.com/citations?hl=en&user=nRF8hGEAAAAJ,36,197,"['Investigations on the influence of composition in the development of Ni–Ti shape memory alloy using laser based additive manufacturing', 'Enhancement of triboelectric nanogenerator output performance by laser 3D-Surface pattern method for energy harvesting application', 'Multi-response optimization of WEDM process parameters for machining of superelastic nitinol shape-memory alloy using a heat-transfer search algorithm', 'Structure, martensitic transformations and mechanical behaviour of NiTi shape memory alloy produced by wire arc additive manufacturing', 'Pareto optimization of WEDM process parameters for machining a NiTi shape memory alloy using a combined approach of RSM and heat transfer search algorithm: R. Chaudhari et al.', 'Performance of laser surface textured high speed steel cutting tool in machining of Al7075-T6 aerospace alloy', 'Influence of dimple and spot-texturing of HSS cutting tool on machining of Ti-6Al-4V', 'Post-processing of laser additive manufactured Inconel 718 using laser shock peening', 'Effect of interlayer delay on the microstructure and mechanical properties of wire arc additive manufactured wall structures', 'Investigations on performance viability of NiTi, NiTiCu, CuAlNi and CuAlNiMn shape memory alloy/Kapton composite thin film for actuator application']"
16,Dr. Apurba K. Das,Indian Institute of Technology Indore,Supramolecular Organic Chemistry Group,5991,https://scholar.google.com/citations?hl=en&user=T4gN2YcAAAAJ,37,101,"['Self-assembled peptide-based hydrogels as scaffolds for anchorage-dependent cells', 'Enzyme-assisted self-assembly under thermodynamic control', 'Biocatalytic induction of supramolecular order', 'pH-Responsive, Bolaamphiphile-Based Smart Metallo-Hydrogels as Potential Dye-Adsorbing Agents, Water Purifier, and Vitamin B12 Carrier', 'Exploiting enzymatic (reversed) hydrolysis in directed self‐assembly of peptide nanostructures', 'An investigation of the conductivity of peptide nanotube networks prepared by enzyme-triggered self-assembly', 'Sonication induced peptide-appended bolaamphiphile hydrogels for in situ generation and catalytic activity of Pt nanoparticles', 'Low molecular weight self-assembling peptide-based materials for cell culture, antimicrobial, anti-inflammatory, wound healing, anticancer, drug delivery, bioimaging and 3D\xa0…', 'Investigations of peptide-based biocompatible injectable shape-memory hydrogels: differential biological effects on bacterial and human blood cells', 'Synthesis, characterization and biodegradation of bioplastic films produced from Parthenium hysterophorus by incorporating a plasticizer (PEG600)']"
17,Pavan Kumar Kankar,"Professor, Department of Mechanical Engineering, IIT Indore","Fault Diagnosis, Condition Monitoring of Mechanical …, Health Monitoring of Hydraulic",5979,https://scholar.google.com/citations?hl=en&user=eN63O5AAAAAJ,40,90,"['Fault diagnosis of ball bearings using machine learning methods', 'Fault diagnosis of ball bearings using continuous wavelet transform', 'Rolling element bearing fault diagnosis using wavelet transform', 'Evaluation and prediction of blast induced ground vibration using support vector machine', 'Feature extraction and fault severity classification in ball bearings', 'Stability analysis of a rotor bearing system due to surface waviness and number of balls', 'A comparison of feature ranking techniques for fault diagnosis of ball bearing', 'A multiscale permutation entropy based approach to select wavelet for fault diagnosis of ball bearings', 'Prediction of blast-induced air overpressure using support vector machine', 'Bearing fault diagnosis based on multi-scale permutation entropy and adaptive neuro fuzzy classifier']"
18,Neelima Satyam,"Institute Chair Professor and Former Head, Department of Civil Engineering, IIT Indore","Landslide Hazard, Seismic Microzonation, Soil Structure Interaction, Bio-Geotechnics",5946,https://scholar.google.com/citations?hl=en&user=u6lns9UAAAAJ,47,113,"['Micro-mechanical performance evaluation of expansive soil biotreated with indigenous bacteria using MICP method', 'Strength and durability assessment of expansive soil stabilized with recycled ash and natural fibers', 'Effect of freeze-thaw cycles on engineering properties of biocemented sand under different treatment conditions', 'IoT-Based Geotechnical Monitoring of Unstable Slopes for Landslide Early Warning in the Darjeeling Himalayas', 'An experimental study on the behavior of lime and silica fume treated coir geotextile reinforced expansive soil subgrade', 'Experimental study on mitigating wind erosion of calcareous desert sand using spray method for microbially induced calcium carbonate precipitation', 'Usage of antecedent soil moisture for improving the performance of rainfall thresholds for landslide early warning', 'Factors affecting landslide susceptibility mapping: Assessing the influence of different machine learning approaches, sampling strategies and data splitting', 'Rock-like Behavior of Biocemented Sand Treated under Non-Sterile Environment and Various Treatment Conditions', 'State of the art review of emerging and biogeotechnical methods for liquefaction mitigation in sands']"
19,Prof. Neelesh Kumar Jain,"Professor (HAG), Department of Mechanical Engineering, IIT Indore","Metal Additive Manufacturing, Sustainable Machining, Gear Engineering, Advanced Manufacturing",5944,https://scholar.google.com/citations?hl=en&user=NHW6zSQAAAAJ,40,129,"['Causes of failure and repairing options for dies and molds: A review', 'Recent developments in sustainable manufacturing of gears: a review', 'Optimization of process parameters of mechanical type advanced machining processes using genetic algorithms', 'Development of micro-plasma transferred arc (μ-PTA) wire deposition process for additive layer manufacturing applications', 'Parametric optimization of SiCp/6061 Al MMC during wire electrical discharge machining using response surface methodology', 'Modeling of material removal in mechanical type advanced machining processes: a state-of-art review', 'A critical review of past research and advances in abrasive flow finishing process', 'RSM and ANN Modeling Approaches for Predicting Average Cutting Speed During WEDM of SiCp 6061 Al MMC', 'Advanced Gear Manufacturing and Finishing: Classical and Modern Processes', 'Optimization of Electro-Chemical Machining Process Parameters Using Genetic Algorithms']"
