Name,Affiliation,Interests,Cited By,Profile URL
Renu John,"Professor, Biomedical Engineering, Indian Institute of Technology Hyderabad","Biomedical Optics, NIR imaging, low coherence microscopy, Biomedical sensors, nanobiosensing",4834.0,https://scholar.google.com/citations?hl=en&user=Sa_FHqMAAAAJ
AK Rengan,"Professor, Dept of BME, IIT Hyderabad",Nanomedicine & Theranostics,4820.0,https://scholar.google.com/citations?hl=en&user=39W5cHoAAAAJ
Dr.Sireesh S,"Professor, IIT Hyderabad",Geotechnical Engineering,4810.0,https://scholar.google.com/citations?hl=en&user=a7yUZyAAAAAJ
Shashidhar thatikonda,"Professor, IIT Hyderabad","Environmental and Water Resources …, AMR, Bioremediation, Hydroclimate",4612.0,https://scholar.google.com/citations?hl=en&user=Twxd3Q4AAAAJ
Vaidyanathan Sivakumar,"Professor of chemistry, Indian Institute of Technology Hyderabad","Phosphors, white LEDs, organic fluorophores, OLEDs, afterglow phosphor",4612.0,https://scholar.google.com/citations?hl=en&user=L_SrFzcAAAAJ
Konda Reddy Mopuri,Indian Institute of Technology Hyderabad,"Deep Learning, Data Science and Engineering, Computer Vision",4555.0,https://scholar.google.com/citations?hl=en&user=OCZ2vIYAAAAJ
Saptarshi Majumdar,"Indian Institute of Technology, Hyderabad, India","Polymers, Multiscale, Biomaterials",4482.0,https://scholar.google.com/citations?hl=en&user=vc4EYCQAAAAJ
Amit Acharyya,"Professor, Department of Electrical Engineering, Indian Institute of Technology, Hyderabad …","VLSI Signal processing, Healthcare Technology, Low Power VLSI",4216.0,https://scholar.google.com/citations?hl=en&user=nanwF7kAAAAJ
"Sai Santosh Kumar Raavi [FRSC, FTAS, M-NASI]","Professor, Dept. of Physics, Indian Institute of Technology, Hyderabad","Ultrafast spectroscopy, Halide Perovskites, Photonics, Photodetectors, Nonlinear Optics",4158.0,https://scholar.google.com/citations?hl=en&user=wq53pfAAAAAJ
Arup Mahata,Indian Institute of Technology Hyderabad,"Computational Chemistry, Halide Perovskites, Porous Organic Frameworks",4156.0,https://scholar.google.com/citations?hl=en&user=gzJmvjYAAAAJ
