Name,Affiliation,Interests,Cited By,Profile URL
Debdeep Sikdar,PhD from IIT Kharagpur,"eeg, signal processing, fractal",204,https://scholar.google.com/citations?hl=en&user=z5EoE5MAAAAJ
Subhasmita Sahoo,"Research Scholar, Indian Institute of Technology Kharagpur","Speech signal processing, Signal processing, Audio-visual processing",204,https://scholar.google.com/citations?hl=en&user=kRvuZ5sAAAAJ
Mopidevi Manikanta Kumar,"PhD, IIT Kharagpur; IPDF, IIT Bombay","Energy Materials, Zn-air battery, Zn-ion Battery, Water Splitting",204,https://scholar.google.com/citations?hl=en&user=VCeg3JUAAAAJ
Soumik Das,Indian Institute of Technology Kharagpur,"Climate Dynamics, Agriculture, Vulnerability & Risk, Adaptation & Resilience, SDGs",204,https://scholar.google.com/citations?hl=en&user=tbAKgWgAAAAJ
Shohaib Abass,"Postdoctoral Fellow, Indian Institute of Technology Kharagpur","Condensed Matter Physics, Solid State Physics, Material Characterization",204,https://scholar.google.com/citations?hl=en&user=P-sOVXAAAAAJ
Prasenjit Haldar,"Research Scholar, Department of Physics, IIT Kharagpur, India",,203,https://scholar.google.com/citations?hl=en&user=2obLKLgAAAAJ
Sayak Roychowdhury,"Department of Industrial and Systems Engineering, IIT Kharagpur","Operations Research, Statistics, Quality & Reliability, Machine Learning, AI",203,https://scholar.google.com/citations?hl=en&user=nMErrtoAAAAJ
AMAL KRISHNA,"Research Scholar, Indian Institute of Technology Kharagpur (IITKGP)","Unconventional Energy Resources, Energy Storage, Applied Solar Photovoltaics",202,https://scholar.google.com/citations?hl=en&user=5216t0gAAAAJ
Dr. Fatima Saeed,Indian institute of technology Kharagpur,"Metal organic frameworks, Chemical engineering, advance separation techniques, Membranes, Adsorbent",202,https://scholar.google.com/citations?hl=en&user=7-KEpg8AAAAJ
NANIGOPAL BERA,"PhD, IIT Kharagpur","Ionic Liquids, Direct Air CO2 Capture, Ultrafast Dynamics, Metal Nanoclusters, Lipid Membranes",202,https://scholar.google.com/citations?hl=en&user=vqhT2lYAAAAJ
DKVD Prasad,IIT Kharagpur,"Metallic glasses, metallic glass coatings, high entropy alloys, ceramic matrix composites",201,https://scholar.google.com/citations?hl=en&user=pXtaCSEAAAAJ
Dr. Shreyas P. Bharule,"Assistant Professor, Dept. of Architecture & Regional Planning, IIT Kharagpur","TOD, Station Area Dev & Mgmt, Urban & Regional Planning, Architecture, High Speed Railway",200,https://scholar.google.com/citations?hl=en&user=cvEv8M4AAAAJ
Iti Sharma,Indian Institute of Technology Kharagpur,"microbial fuel cell, renewable energy, bioenergy, waste treatment",199,https://scholar.google.com/citations?hl=en&user=LKuYq1oAAAAJ
Dipmalya Basak,"SRF Department of Chemistry, IIT Kharagpur",Synthetic Inorganic Chemistry,199,https://scholar.google.com/citations?hl=en&user=XsH92rgAAAAJ
Priyajit Mukherjee,"Research Scholar in the Department, E&ECE, IIT KHARAGPUR.",Network On Chip,197,https://scholar.google.com/citations?hl=en&user=igYvymYAAAAJ
Shubhrajit Maitra,"Assistant Professor, IIT Kharagpur","Offshore Geotechnics, Geotechnical Engineering",197,https://scholar.google.com/citations?hl=en&user=DsFd390AAAAJ
Anurupa Maiti,IIT Kharagpur,Nanomaterials,197,https://scholar.google.com/citations?hl=en&user=UFv1m9AAAAAJ
RAJKUMAR SAHOO,"Research Scholar,Department of Chemistry, IIT Kharagpur","Ionic Liquid, GUMBOS, Protein folding, Biosensing, FRET",197,https://scholar.google.com/citations?hl=en&user=VQz0uPIAAAAJ
Arman Kunwar Hansda,"PhD, Indian Institute of Technology (IIT) Kharagapur","Molecular Immunology, T-cell Biology, Molecular Biology",197,https://scholar.google.com/citations?hl=en&user=OvzKB14AAAAJ
Shaona Bose,"PhD candidate, Indian Institute of Technology Kharagpur","perovskites, optoelectronic devices, density functional theory",197,https://scholar.google.com/citations?hl=en&user=iIST4OgAAAAJ
Israr Majeed,"Indian institute of technology, Kharagpur","Hyperspectral Imaging, Crop Modeling, Diffuse reflectance spectroscopy in agriculture, Chemometrics",196,https://scholar.google.com/citations?hl=en&user=dA77Ae0AAAAJ
Dr.Chita Ranjan Dalai,"Indian Institute of Technology, Kharagpur","Saltwater intrusion, Laboratory techniques, Porous media physics, Density dependent flow",196,https://scholar.google.com/citations?hl=en&user=x11csosAAAAJ
